id,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1
1,1,0,A/5 21171,7.25,,S,8
2,1,0,PC 17599,71.2833,C85,C,77
3,0,0,STON/O2. 3101282,7.925,,S,
4,1,0,113803,53.1,C123,S,43
5,0,0,373450,8.05,,S,
6,0,0,330877,8.4583,,Q,85
7,0,0,17463,51.8625,E46,S,8
8,3,1,349909,21.075,,S,
9,0,2,347742,11.1333,,S,
10,1,0,237736,30.0708,,C,
11,1,1,PP 9549,16.7,G6,S,52
12,0,0,113783,26.55,C103,S,97
13,0,0,A/5. 2151,8.05,,S,73
14,1,5,347082,31.275,,S,76
15,0,0,350406,7.8542,,S,71
16,0,0,248706,16,,S,
17,4,1,382652,29.125,,Q,51
18,0,0,244373,13,,S,12
19,1,0,345763,18,,S,83
20,0,0,2649,7.225,,C,45
21,0,0,239865,26,,S,50
22,0,0,248698,13,D56,S,37
23,0,0,330923,8.0292,,Q,
24,0,0,113788,35.5,A6,S,92
25,3,1,349909,21.075,,S,78
26,1,5,347077,31.3875,,S,64
27,0,0,2631,7.225,,C,
28,3,2,19950,263,C23 C25 C27,S,
29,0,0,330959,7.8792,,Q,
30,0,0,349216,7.8958,,S,44
31,0,0,PC 17601,27.7208,,C,45
32,1,0,PC 17569,146.5208,B78,C,22
33,0,0,335677,7.75,,Q,9
34,0,0,C.A. 24579,10.5,,S,55
35,1,0,PC 17604,82.1708,,C,88
36,1,0,113789,52,,S,
37,0,0,2677,7.2292,,C,85
38,0,0,A./5. 2152,8.05,,S,82
39,2,0,345764,18,,S,
40,1,0,2651,11.2417,,C,63
41,1,0,7546,9.475,,S,16
42,1,0,11668,21,,S,
43,0,0,349253,7.8958,,C,70
44,1,2,SC/Paris 2123,41.5792,,C,35
45,0,0,330958,7.8792,,Q,6
46,0,0,S.C./A.4. 23567,8.05,,S,97
47,1,0,370371,15.5,,Q,44
48,0,0,14311,7.75,,Q,89
49,2,0,2662,21.6792,,C,67
50,1,0,349237,17.8,,S,77
51,4,1,3101295,39.6875,,S,75
52,0,0,A/4. 39886,7.8,,S,19
53,1,0,PC 17572,76.7292,D33,C,36
54,1,0,2926,26,,S,46
55,0,1,113509,61.9792,B30,C,49
56,0,0,19947,35.5,C52,S,4
