id,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5
1,S,8,,,27,
2,C,77,,,,
3,S,,,medium,26,D
4,S,43,D,high,,C
5,S,,D,low,17,A
6,Q,85,C,,18,C
7,S,8,B,,92,D
8,S,,,medium,55,A
9,S,,A,,4,B
10,C,,B,unknown,,D
11,S,52,,high,,B
12,S,97,C,high,,D
13,S,73,B,low,54,C
14,S,76,,,64,C
15,S,71,C,,,C
16,S,,,unknown,81,C
17,Q,51,D,high,,
18,S,12,C,unknown,96,D
19,S,83,C,,,B
20,C,45,D,low,32,
21,S,50,,low,72,C
22,S,37,D,high,89,C
23,Q,,B,,,B
24,S,92,A,medium,98,B
25,S,78,,,19,C
26,S,64,A,high,41,
27,C,,A,medium,31,B
28,S,,,low,42,D
29,Q,,,high,,B
30,S,44,A,high,73,C
31,C,45,D,,,A
32,C,22,,,25,
33,Q,9,B,medium,,D
34,S,55,C,high,,
35,C,88,B,,65,D
36,S,,C,,69,
37,C,85,D,medium,66,B
38,S,82,A,,60,D
39,S,,A,,,B
40,C,63,D,unknown,,
41,S,16,C,low,90,A
42,S,,C,unknown,38,B
43,C,70,B,medium,51,B
44,C,35,,,18,
45,Q,6,C,low,35,A
46,S,97,C,low,,D
47,Q,44,A,unknown,64,A
48,Q,89,C,,21,
49,C,67,C,,54,C
50,S,77,A,,,A
51,S,75,B,unknown,12,
52,S,19,,medium,6,D
53,C,36,,unknown,,D
54,S,46,,unknown,65,A
55,C,49,,unknown,31,C
56,S,4,C,high,82,
57,S,54,B,,84,
58,C,15,D,high,53,C
59,S,74,,low,,C
60,S,68,D,,,C
61,C,92,,high,82,
62,,74,B,unknown,89,
63,S,36,,,,
64,S,,C,high,51,C
65,C,,A,,,A
66,C,32,B,,,A
67,S,,B,,13,C
68,S,,A,unknown,67,
69,S,7,,medium,92,A
70,S,,C,,75,
71,S,79,D,,48,D
72,S,18,A,,52,C
73,S,,B,,25,D
74,C,12,A,high,,D
75,S,68,,unknown,24,D
76,S,47,,unknown,34,A
77,S,,,low,26,
78,S,22,,low,33,
79,S,,A,,36,A
80,S,66,C,,8,
81,S,94,C,unknown,,
82,S,43,D,low,44,
83,Q,16,D,low,94,
84,S,83,D,unknown,,A
85,S,62,C,unknown,66,B
86,S,70,,low,,
87,S,9,B,medium,,B
88,S,31,A,,49,
89,S,,B,,44,A
90,S,,B,,65,
91,S,43,A,,,B
92,S,,A,low,31,B
93,S,,C,medium,,D
94,S,38,B,high,18,
95,S,89,,high,,
96,S,28,B,,,
97,C,23,D,unknown,95,A
98,C,68,C,unknown,,
99,S,,A,,39,C
100,S,13,A,,,B
101,S,83,C,high,80,B
102,S,,C,,48,B
103,S,80,B,medium,96,
104,S,0,C,low,,B
105,S,79,,medium,70,
106,S,,,,75,C
107,S,,A,unknown,,A
108,S,66,B,unknown,,
109,S,,,,58,C
110,Q,,D,low,,
111,S,,D,low,11,
112,C,78,,medium,13,A
113,S,55,A,,,C
114,S,45,,unknown,65,B
115,C,,A,,28,C
116,S,,,,73,A
117,Q,3,,,69,
118,S,13,,medium,,
119,C,24,A,,91,B
120,S,11,,high,88,
121,S,43,C,low,,C
122,S,,,medium,76,
123,C,65,D,high,,
124,S,47,D,medium,40,A
125,S,85,C,,,D
126,C,56,,,60,A
127,Q,7,B,unknown,41,C
128,S,76,D,low,99,
129,C,57,,low,17,D
130,S,63,,high,9,
131,C,56,A,medium,2,A
132,S,55,A,high,81,D
133,S,9,,low,40,C
134,S,55,,,43,
135,S,79,B,unknown,64,C
136,C,30,D,,,A
137,S,,A,medium,57,C
138,S,3,C,,5,
139,S,34,B,high,,B
140,C,43,A,low,,
141,C,,D,,45,B
142,S,21,A,,16,
143,S,,,unknown,,
144,Q,,,,33,D
145,S,99,D,medium,27,
146,S,85,A,unknown,29,A
147,S,3,,,72,A
148,S,23,C,,10,B
149,S,,D,unknown,30,D
150,S,,A,low,46,B
151,S,85,D,,54,
152,S,28,C,medium,88,B
153,S,91,D,unknown,,
154,S,29,,low,,
155,S,43,D,unknown,53,
156,C,66,C,low,2,A
157,Q,12,,low,61,D
158,S,55,,high,15,D
159,S,50,,high,7,A
160,S,78,B,unknown,67,C
161,S,99,C,,,D
162,S,,,low,,
163,S,40,C,,10,B
164,S,40,D,,74,D
165,S,41,,,76,C
166,S,81,A,,,
167,S,32,,unknown,83,A
168,S,16,B,unknown,43,C
169,S,,C,high,18,
170,S,2,,,,
171,S,10,B,high,21,A
172,Q,9,B,high,20,B
173,S,,B,high,32,D
174,S,,D,high,,
175,C,69,B,medium,,B
176,S,46,,high,,
177,S,71,B,unknown,62,B
178,C,16,A,unknown,33,C
179,S,90,B,high,,B
180,S,50,A,low,51,
181,S,93,A,,,C
182,C,,,medium,43,D
183,S,49,A,low,29,B
184,S,69,,,,
185,S,49,D,high,,A
186,S,44,C,unknown,,D
187,Q,,B,,,
188,S,38,A,,47,A
189,Q,,D,,,A
190,S,,D,high,,A
191,S,68,C,,90,B
192,S,63,A,unknown,67,D
193,S,60,,unknown,,A
194,S,36,,unknown,96,D
195,C,95,A,medium,71,
196,C,8,D,,5,C
197,Q,,A,,72,B
198,S,,,unknown,,D
199,Q,33,D,,,
200,S,96,D,,48,B
201,S,,A,low,51,A
202,S,90,,,31,D
203,S,49,C,low,,B
204,C,,C,unknown,61,B
205,S,45,,high,,C
206,S,26,D,medium,89,C
207,S,76,D,high,77,C
208,C,,,high,60,B
209,Q,26,,high,,A
210,C,77,C,high,33,
211,S,26,A,,76,A
212,S,,,medium,31,
213,S,78,A,,26,
214,S,44,D,,86,C
215,Q,,,,,D
216,C,27,A,low,,A
217,S,,A,unknown,86,D
218,S,,A,low,,D
219,C,44,C,low,,C
220,S,90,B,,52,C
221,S,12,D,low,,
222,S,45,B,medium,,A
223,S,,,medium,,
224,S,20,C,,,
225,S,,C,,79,
226,S,30,,high,59,A
227,S,80,,low,,A
228,S,57,C,high,40,A
229,S,54,,high,38,C
230,S,17,,high,42,C
231,S,46,,high,99,
232,S,85,C,,,A
233,S,,D,,15,A
234,S,75,C,,4,A
235,S,,,high,51,
236,S,,,unknown,80,
237,S,,B,high,,B
238,S,43,A,low,56,
239,S,30,A,medium,79,B
240,S,62,,high,51,D
241,C,14,,low,90,
242,Q,58,,unknown,63,
243,S,9,B,unknown,73,B
244,S,64,C,unknown,78,A
245,C,,D,low,62,D
246,Q,8,D,high,5,
247,S,,B,high,42,
248,S,41,B,high,14,A
249,S,78,,unknown,51,B
250,S,4,A,,,
251,S,17,C,high,,C
252,S,49,B,high,,A
253,S,18,,,2,C
254,S,,C,unknown,,D
255,S,,B,,50,D
256,C,14,,unknown,7,
257,C,,C,low,,
258,S,10,A,,75,C
259,C,,,high,70,A
260,S,58,A,low,17,A
261,Q,79,B,medium,,D
262,S,17,D,,63,
263,S,29,A,high,39,
264,S,92,,low,0,
265,Q,98,C,medium,,
266,S,58,D,,79,C
267,S,44,,high,3,C
268,S,34,C,medium,,D
269,S,61,D,high,38,D
270,S,,,high,,A
271,S,29,A,,47,
272,S,,D,,42,A
273,S,15,A,unknown,,B
274,C,95,C,low,5,B
275,Q,41,B,,3,D
276,S,48,C,low,9,
277,S,,,low,69,
278,S,78,,,78,
279,Q,,C,,,B
280,S,,,high,7,
281,Q,,B,medium,41,
282,S,,,,98,
283,S,67,D,medium,,D
284,S,49,A,low,,A
285,S,44,B,medium,53,C
286,C,,C,high,,B
287,S,,,high,,
288,S,57,D,medium,47,C
289,S,,B,,,
290,Q,47,D,high,,
291,S,,,,,D
292,C,26,C,medium,5,
293,C,95,C,,0,
294,S,33,A,unknown,41,A
295,S,,A,,,D
296,C,,,,,
297,C,84,C,,7,B
298,S,,,high,67,D
299,S,28,A,high,45,
300,C,2,,,23,
301,Q,36,D,unknown,20,D
302,Q,82,,unknown,66,D
303,S,0,B,unknown,52,B
304,Q,89,,unknown,,B
305,S,,D,unknown,28,
306,S,14,B,,52,A
307,C,,B,low,86,C
308,C,55,C,,31,
309,C,31,A,low,39,D
310,C,,D,low,16,
311,C,66,D,unknown,,C
312,C,67,,unknown,3,C
313,S,,C,high,24,C
314,S,28,C,high,,A
315,S,24,,,1,B
316,S,,D,,98,
317,S,,,unknown,40,B
318,S,,,medium,,D
319,S,93,C,high,53,
320,C,,,,,B
321,S,,D,low,,
322,S,,D,,88,A
323,Q,,C,,,B
324,S,91,B,,,B
325,S,,B,medium,70,D
326,C,23,B,high,30,
327,S,23,C,unknown,99,A
328,S,3,,high,25,
329,S,,C,medium,29,
330,C,55,D,medium,71,A
331,Q,54,,high,78,C
332,S,,C,medium,12,C
333,S,30,,high,55,
334,S,82,C,,,B
335,S,,,,61,
336,S,80,,unknown,55,
337,S,96,,medium,,B
338,C,31,,medium,,
339,S,20,,high,65,
340,S,95,,,67,D
341,S,63,,unknown,,C
342,S,29,,low,,
343,S,62,B,unknown,72,B
344,S,51,C,,77,
345,S,,A,,12,B
346,S,25,C,high,88,
347,S,99,,unknown,,
348,S,,,low,,C
349,S,,,high,48,
350,S,16,B,low,48,
351,S,,A,low,91,
352,S,,B,unknown,96,A
353,C,29,C,high,80,A
