id,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36
1,Y,medium,286,Z,medium,193,Z,low,78,Y,medium,321,Z,low,330,Y,,379,X,low
2,,,451,Y,high,451,Z,low,110,Y,medium,14,Y,low,50,Y,low,40,Y,medium
3,X,low,337,Z,high,293,Y,high,43,X,medium,319,X,high,491,Z,low,271,Y,medium
4,Y,medium,2,Y,medium,382,Y,medium,229,Z,low,245,Y,medium,,X,medium,355,Y,medium
5,,low,244,Z,high,174,X,medium,322,Y,high,227,X,medium,331,Y,low,301,Y,high
6,Z,low,422,X,,465,Z,low,337,X,low,303,X,,35,X,high,122,Y,low
7,X,high,436,Y,medium,357,Y,medium,454,Z,high,447,X,medium,259,,,80,Z,high
8,X,medium,,Z,high,257,X,medium,146,X,low,63,Y,low,460,Z,medium,145,Z,low
9,Z,high,238,X,,289,Z,medium,327,Y,medium,67,X,medium,118,Z,low,176,Z,medium
10,Z,high,53,Y,low,311,Z,low,442,Y,high,348,Z,medium,270,X,high,460,Y,low
11,X,high,106,Y,,80,X,high,14,X,medium,25,Z,low,282,Y,high,310,X,medium
12,,low,423,Z,low,125,Y,medium,390,Z,low,214,Z,medium,348,X,high,417,X,high
13,X,high,170,Z,low,343,Z,low,44,X,medium,247,Z,high,459,Y,high,13,Y,medium
14,Y,high,381,X,low,220,Z,low,275,Z,medium,195,Z,medium,65,X,high,391,Y,medium
15,Y,medium,18,X,low,391,X,low,415,Z,high,266,Z,medium,31,Z,high,94,Y,low
16,Y,low,245,Z,medium,262,X,low,229,X,medium,56,Z,high,44,Y,,282,X,high
17,X,low,475,X,medium,32,Z,high,279,Y,high,133,X,medium,133,X,medium,193,Z,low
18,X,medium,,Y,medium,332,Z,high,309,X,medium,2,Y,,176,Z,high,431,X,low
19,Y,low,15,Z,medium,304,Z,high,288,Y,low,480,X,low,439,,low,337,Y,high
20,Y,low,144,Z,low,182,Y,low,365,Y,medium,415,Z,high,260,Y,high,230,Y,high
21,X,medium,31,Z,medium,395,Z,medium,429,Y,,126,X,high,372,Y,medium,254,Y,low
22,Y,medium,306,X,high,175,Y,low,67,Z,low,18,Y,high,287,X,low,353,X,medium
23,Y,high,95,X,low,57,Z,low,,Y,medium,135,Y,high,476,Y,,359,Y,low
24,Y,high,123,X,low,60,X,medium,426,Z,low,478,,medium,164,Z,low,286,X,high
25,Z,low,293,Z,medium,450,X,medium,190,,,405,X,medium,334,Z,high,363,Z,medium
26,Z,low,162,X,,188,X,high,244,Y,medium,,Z,,136,Z,high,394,Z,low
27,X,low,325,Y,medium,207,X,low,371,X,,461,Y,medium,116,X,low,15,Z,low
28,Z,low,465,,high,152,X,high,467,X,high,88,Z,high,490,Z,high,183,Z,low
29,X,medium,465,Y,low,368,,low,125,Y,high,268,Y,medium,12,X,low,,Z,low
30,Y,high,364,Z,low,302,X,,477,Y,medium,396,Y,high,136,X,high,160,X,low
31,Z,high,484,Y,medium,449,Y,low,354,Y,high,9,X,medium,193,,high,412,Z,medium
32,Z,high,368,Y,low,447,Y,low,15,Z,medium,217,X,medium,68,Y,medium,274,Y,high
33,X,medium,33,Z,low,494,X,medium,430,,high,177,Y,low,385,X,medium,135,X,high
34,X,medium,477,Y,low,,Y,low,192,Y,high,88,X,high,179,,high,175,Z,medium
35,X,high,283,X,low,291,Z,low,141,Z,low,111,,high,229,X,high,,Z,high
36,X,low,2,Y,high,173,Y,medium,263,Y,high,484,X,,151,Y,,62,X,medium
37,X,,310,Z,high,352,X,low,288,X,high,255,X,low,445,Z,low,154,Z,low
38,,medium,122,Z,medium,374,Z,high,269,Y,high,,X,high,210,Z,medium,340,Z,medium
39,X,medium,267,X,,125,Y,low,27,X,low,341,Z,,393,X,low,453,Y,low
40,Y,medium,328,,high,429,Y,high,411,X,medium,295,Y,medium,311,X,low,475,X,low
41,Z,,13,Y,low,145,X,medium,170,Z,low,196,X,low,477,Y,low,191,Z,high
42,Y,low,219,Z,medium,491,X,high,70,Y,high,198,X,high,301,Z,medium,397,Z,high
43,X,high,27,Y,high,425,X,low,282,Z,high,268,Z,low,492,X,high,198,X,medium
44,Y,high,,Y,medium,9,Z,low,311,Z,medium,464,Z,medium,349,Y,,403,X,medium
