id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4
1,A/5 21171,7.25,,S,8,,,27
2,PC 17599,71.2833,C85,C,77,,,
3,STON/O2. 3101282,7.925,,S,,,medium,26
4,113803,53.1,C123,S,43,D,high,
5,373450,8.05,,S,,D,low,17
6,330877,8.4583,,Q,85,C,,18
7,17463,51.8625,E46,S,8,B,,92
8,349909,21.075,,S,,,medium,55
9,347742,11.1333,,S,,A,,4
10,237736,30.0708,,C,,B,unknown,
11,PP 9549,16.7,G6,S,52,,high,
12,113783,26.55,C103,S,97,C,high,
13,A/5. 2151,8.05,,S,73,B,low,54
14,347082,31.275,,S,76,,,64
15,350406,7.8542,,S,71,C,,
16,248706,16,,S,,,unknown,81
17,382652,29.125,,Q,51,D,high,
18,244373,13,,S,12,C,unknown,96
19,345763,18,,S,83,C,,
20,2649,7.225,,C,45,D,low,32
21,239865,26,,S,50,,low,72
22,248698,13,D56,S,37,D,high,89
23,330923,8.0292,,Q,,B,,
24,113788,35.5,A6,S,92,A,medium,98
25,349909,21.075,,S,78,,,19
26,347077,31.3875,,S,64,A,high,41
27,2631,7.225,,C,,A,medium,31
28,19950,263,C23 C25 C27,S,,,low,42
29,330959,7.8792,,Q,,,high,
30,349216,7.8958,,S,44,A,high,73
31,PC 17601,27.7208,,C,45,D,,
32,PC 17569,146.5208,B78,C,22,,,25
33,335677,7.75,,Q,9,B,medium,
34,C.A. 24579,10.5,,S,55,C,high,
35,PC 17604,82.1708,,C,88,B,,65
36,113789,52,,S,,C,,69
37,2677,7.2292,,C,85,D,medium,66
38,A./5. 2152,8.05,,S,82,A,,60
39,345764,18,,S,,A,,
40,2651,11.2417,,C,63,D,unknown,
41,7546,9.475,,S,16,C,low,90
42,11668,21,,S,,C,unknown,38
43,349253,7.8958,,C,70,B,medium,51
44,SC/Paris 2123,41.5792,,C,35,,,18
45,330958,7.8792,,Q,6,C,low,35
46,S.C./A.4. 23567,8.05,,S,97,C,low,
47,370371,15.5,,Q,44,A,unknown,64
48,14311,7.75,,Q,89,C,,21
49,2662,21.6792,,C,67,C,,54
50,349237,17.8,,S,77,A,,
51,3101295,39.6875,,S,75,B,unknown,12
52,A/4. 39886,7.8,,S,19,,medium,6
53,PC 17572,76.7292,D33,C,36,,unknown,
54,2926,26,,S,46,,unknown,65
55,113509,61.9792,B30,C,49,,unknown,31
56,19947,35.5,C52,S,4,C,high,82
57,C.A. 31026,10.5,,S,54,B,,84
58,2697,7.2292,,C,15,D,high,53
59,C.A. 34651,27.75,,S,74,,low,
60,CA 2144,46.9,,S,68,D,,
61,2669,7.2292,,C,92,,high,82
62,113572,80,B28,,74,B,unknown,89
63,36973,83.475,C83,S,36,,,
64,347088,27.9,,S,,C,high,51
65,PC 17605,27.7208,,C,,A,,
66,2661,15.2458,,C,32,B,,
67,C.A. 29395,10.5,F33,S,,B,,13
68,S.P. 3464,8.1583,,S,,A,unknown,67
69,3101281,7.925,,S,7,,medium,92
70,315151,8.6625,,S,,C,,75
71,C.A. 33111,10.5,,S,79,D,,48
72,CA 2144,46.9,,S,18,A,,52
73,S.O.C. 14879,73.5,,S,,B,,25
74,2680,14.4542,,C,12,A,high,
75,1601,56.4958,,S,68,,unknown,24
76,348123,7.65,F G73,S,47,,unknown,34
77,349208,7.8958,,S,,,low,26
78,374746,8.05,,S,22,,low,33
79,248738,29,,S,,A,,36
80,364516,12.475,,S,66,C,,8
81,345767,9,,S,94,C,unknown,
82,345779,9.5,,S,43,D,low,44
83,330932,7.7875,,Q,16,D,low,94
84,113059,47.1,,S,83,D,unknown,
85,SO/C 14885,10.5,,S,62,C,unknown,66
86,3101278,15.85,,S,70,,low,
87,W./C. 6608,34.375,,S,9,B,medium,
88,SOTON/OQ 392086,8.05,,S,31,A,,49
89,19950,263,C23 C25 C27,S,,B,,44
90,343275,8.05,,S,,B,,65
91,343276,8.05,,S,43,A,,
92,347466,7.8542,,S,,A,low,31
93,W.E.P. 5734,61.175,E31,S,,C,medium,
94,C.A. 2315,20.575,,S,38,B,high,18
95,364500,7.25,,S,89,,high,
96,374910,8.05,,S,28,B,,
97,PC 17754,34.6542,A5,C,23,D,unknown,95
98,PC 17759,63.3583,D10 D12,C,68,C,unknown,
99,231919,23,,S,,A,,39
100,244367,26,,S,13,A,,
101,349245,7.8958,,S,83,C,high,80
102,349215,7.8958,,S,,C,,48
