id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2
1,A/5 21171,7.25,,S,8,
2,PC 17599,71.2833,C85,C,77,
3,STON/O2. 3101282,7.925,,S,,
4,113803,53.1,C123,S,43,D
5,373450,8.05,,S,,D
6,330877,8.4583,,Q,85,C
7,17463,51.8625,E46,S,8,B
8,349909,21.075,,S,,
9,347742,11.1333,,S,,A
10,237736,30.0708,,C,,B
11,PP 9549,16.7,G6,S,52,
12,113783,26.55,C103,S,97,C
13,A/5. 2151,8.05,,S,73,B
14,347082,31.275,,S,76,
15,350406,7.8542,,S,71,C
16,248706,16,,S,,
17,382652,29.125,,Q,51,D
18,244373,13,,S,12,C
19,345763,18,,S,83,C
20,2649,7.225,,C,45,D
21,239865,26,,S,50,
22,248698,13,D56,S,37,D
23,330923,8.0292,,Q,,B
24,113788,35.5,A6,S,92,A
25,349909,21.075,,S,78,
26,347077,31.3875,,S,64,A
27,2631,7.225,,C,,A
28,19950,263,C23 C25 C27,S,,
29,330959,7.8792,,Q,,
30,349216,7.8958,,S,44,A
31,PC 17601,27.7208,,C,45,D
32,PC 17569,146.5208,B78,C,22,
33,335677,7.75,,Q,9,B
34,C.A. 24579,10.5,,S,55,C
35,PC 17604,82.1708,,C,88,B
36,113789,52,,S,,C
37,2677,7.2292,,C,85,D
38,A./5. 2152,8.05,,S,82,A
39,345764,18,,S,,A
40,2651,11.2417,,C,63,D
41,7546,9.475,,S,16,C
42,11668,21,,S,,C
43,349253,7.8958,,C,70,B
44,SC/Paris 2123,41.5792,,C,35,
45,330958,7.8792,,Q,6,C
46,S.C./A.4. 23567,8.05,,S,97,C
47,370371,15.5,,Q,44,A
48,14311,7.75,,Q,89,C
49,2662,21.6792,,C,67,C
50,349237,17.8,,S,77,A
51,3101295,39.6875,,S,75,B
52,A/4. 39886,7.8,,S,19,
53,PC 17572,76.7292,D33,C,36,
54,2926,26,,S,46,
55,113509,61.9792,B30,C,49,
56,19947,35.5,C52,S,4,C
57,C.A. 31026,10.5,,S,54,B
58,2697,7.2292,,C,15,D
59,C.A. 34651,27.75,,S,74,
60,CA 2144,46.9,,S,68,D
61,2669,7.2292,,C,92,
62,113572,80,B28,,74,B
63,36973,83.475,C83,S,36,
64,347088,27.9,,S,,C
65,PC 17605,27.7208,,C,,A
66,2661,15.2458,,C,32,B
67,C.A. 29395,10.5,F33,S,,B
68,S.P. 3464,8.1583,,S,,A
69,3101281,7.925,,S,7,
70,315151,8.6625,,S,,C
