id,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10
1,1,0,A/5 21171,7.25,,S,8,,,27,,high,57,C,low,90
2,1,0,PC 17599,71.2833,C85,C,77,,,,,low,62,D,,97
3,0,0,STON/O2. 3101282,7.925,,S,,,medium,26,D,unknown,65,D,high,51
4,1,0,113803,53.1,C123,S,43,D,high,,C,high,19,,,59
5,0,0,373450,8.05,,S,,D,low,17,A,,57,C,low,19
6,0,0,330877,8.4583,,Q,85,C,,18,C,medium,26,C,,41
7,0,0,17463,51.8625,E46,S,8,B,,92,D,medium,27,,,62
8,3,1,349909,21.075,,S,,,medium,55,A,low,94,D,low,42
9,0,2,347742,11.1333,,S,,A,,4,B,,,A,,
10,1,0,237736,30.0708,,C,,B,unknown,,D,,,C,,13
11,1,1,PP 9549,16.7,G6,S,52,,high,,B,unknown,,B,,15
12,0,0,113783,26.55,C103,S,97,C,high,,D,,24,A,high,33
13,0,0,A/5. 2151,8.05,,S,73,B,low,54,C,high,78,,,
14,1,5,347082,31.275,,S,76,,,64,C,medium,,A,,81
15,0,0,350406,7.8542,,S,71,C,,,C,medium,71,,,86
16,0,0,248706,16,,S,,,unknown,81,C,,,,unknown,
17,4,1,382652,29.125,,Q,51,D,high,,,medium,,,,
18,0,0,244373,13,,S,12,C,unknown,96,D,unknown,72,A,,
19,1,0,345763,18,,S,83,C,,,B,low,33,D,unknown,53
20,0,0,2649,7.225,,C,45,D,low,32,,low,96,A,medium,70
21,0,0,239865,26,,S,50,,low,72,C,unknown,86,B,,72
22,0,0,248698,13,D56,S,37,D,high,89,C,unknown,59,B,,96
23,0,0,330923,8.0292,,Q,,B,,,B,unknown,,C,,57
24,0,0,113788,35.5,A6,S,92,A,medium,98,B,medium,59,B,high,34
25,3,1,349909,21.075,,S,78,,,19,C,medium,69,,,
26,1,5,347077,31.3875,,S,64,A,high,41,,low,,D,low,
27,0,0,2631,7.225,,C,,A,medium,31,B,medium,14,D,low,80
28,3,2,19950,263,C23 C25 C27,S,,,low,42,D,high,56,A,high,
29,0,0,330959,7.8792,,Q,,,high,,B,medium,80,D,,
30,0,0,349216,7.8958,,S,44,A,high,73,C,medium,31,A,unknown,31
31,0,0,PC 17601,27.7208,,C,45,D,,,A,,45,,unknown,5
32,1,0,PC 17569,146.5208,B78,C,22,,,25,,,,D,high,
33,0,0,335677,7.75,,Q,9,B,medium,,D,high,70,A,,12
34,0,0,C.A. 24579,10.5,,S,55,C,high,,,high,86,A,high,8
35,1,0,PC 17604,82.1708,,C,88,B,,65,D,high,,,medium,70
36,1,0,113789,52,,S,,C,,69,,unknown,,,high,43
37,0,0,2677,7.2292,,C,85,D,medium,66,B,low,4,D,low,
38,0,0,A./5. 2152,8.05,,S,82,A,,60,D,medium,,C,unknown,
39,2,0,345764,18,,S,,A,,,B,high,94,C,unknown,
40,1,0,2651,11.2417,,C,63,D,unknown,,,,8,D,medium,61
41,1,0,7546,9.475,,S,16,C,low,90,A,unknown,,,medium,53
42,1,0,11668,21,,S,,C,unknown,38,B,,83,,medium,58
43,0,0,349253,7.8958,,C,70,B,medium,51,B,low,,D,,70
44,1,2,SC/Paris 2123,41.5792,,C,35,,,18,,medium,17,,,38
45,0,0,330958,7.8792,,Q,6,C,low,35,A,medium,2,A,medium,
46,0,0,S.C./A.4. 23567,8.05,,S,97,C,low,,D,unknown,,A,high,
47,1,0,370371,15.5,,Q,44,A,unknown,64,A,medium,59,B,,14
48,0,0,14311,7.75,,Q,89,C,,21,,,84,A,medium,21
49,2,0,2662,21.6792,,C,67,C,,54,C,,88,,low,8
50,1,0,349237,17.8,,S,77,A,,,A,medium,45,,high,
51,4,1,3101295,39.6875,,S,75,B,unknown,12,,high,42,B,,43
52,0,0,A/4. 39886,7.8,,S,19,,medium,6,D,high,93,B,unknown,
53,1,0,PC 17572,76.7292,D33,C,36,,unknown,,D,,,,low,92
54,1,0,2926,26,,S,46,,unknown,65,A,medium,20,,,
55,0,1,113509,61.9792,B30,C,49,,unknown,31,C,low,,,medium,55
56,0,0,19947,35.5,C52,S,4,C,high,82,,low,71,B,high,
57,0,0,C.A. 31026,10.5,,S,54,B,,84,,,23,D,low,
58,0,0,2697,7.2292,,C,15,D,high,53,C,high,97,A,low,76
59,1,2,C.A. 34651,27.75,,S,74,,low,,C,,29,B,,90
60,5,2,CA 2144,46.9,,S,68,D,,,C,unknown,,,,96
61,0,0,2669,7.2292,,C,92,,high,82,,,49,C,,38
62,0,0,113572,80,B28,,74,B,unknown,89,,low,69,,,48
63,1,0,36973,83.475,C83,S,36,,,,,high,90,D,unknown,
64,3,2,347088,27.9,,S,,C,high,51,C,,39,,,5
65,0,0,PC 17605,27.7208,,C,,A,,,A,high,,D,medium,11
66,1,1,2661,15.2458,,C,32,B,,,A,medium,75,,,4
67,0,0,C.A. 29395,10.5,F33,S,,B,,13,C,unknown,,A,,73
68,0,0,S.P. 3464,8.1583,,S,,A,unknown,67,,high,,,,22
69,4,2,3101281,7.925,,S,7,,medium,92,A,,75,A,low,
70,2,0,315151,8.6625,,S,,C,,75,,medium,70,,high,37
71,0,0,C.A. 33111,10.5,,S,79,D,,48,D,unknown,,C,low,79
72,5,2,CA 2144,46.9,,S,18,A,,52,C,high,,B,,11
73,0,0,S.O.C. 14879,73.5,,S,,B,,25,D,high,1,,medium,32
74,1,0,2680,14.4542,,C,12,A,high,,D,medium,,,unknown,
75,0,0,1601,56.4958,,S,68,,unknown,24,D,,,C,low,
76,0,0,348123,7.65,F G73,S,47,,unknown,34,A,unknown,,A,,56
77,0,0,349208,7.8958,,S,,,low,26,,medium,,A,,16
78,0,0,374746,8.05,,S,22,,low,33,,low,30,,,66
79,0,2,248738,29,,S,,A,,36,A,medium,89,C,high,96
80,0,0,364516,12.475,,S,66,C,,8,,,70,,low,4
81,0,0,345767,9,,S,94,C,unknown,,,,56,,medium,8
82,0,0,345779,9.5,,S,43,D,low,44,,low,88,B,high,95
83,0,0,330932,7.7875,,Q,16,D,low,94,,low,9,C,unknown,
84,0,0,113059,47.1,,S,83,D,unknown,,A,medium,64,,unknown,91
85,0,0,SO/C 14885,10.5,,S,62,C,unknown,66,B,medium,15,D,,70
