id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17
1,,,27,,high,57,C,low,90,Z,high,303,X,high,475,Y
2,,,,,low,62,D,,97,X,high,388,Z,high,412,
3,,medium,26,D,unknown,65,D,high,51,Z,low,262,X,high,49,X
4,D,high,,C,high,19,,,59,Y,low,72,Z,medium,343,Y
5,D,low,17,A,,57,C,low,19,X,medium,,Y,high,332,
6,C,,18,C,medium,26,C,,41,X,low,,Z,high,442,Z
7,B,,92,D,medium,27,,,62,X,high,58,X,low,482,X
8,,medium,55,A,low,94,D,low,42,,low,63,Y,high,372,X
9,A,,4,B,,,A,,,,medium,173,X,low,,Z
10,B,unknown,,D,,,C,,13,Y,low,227,Z,high,176,Z
11,,high,,B,unknown,,B,,15,Y,high,,Y,low,449,X
12,C,high,,D,,24,A,high,33,X,low,79,X,high,471,
13,B,low,54,C,high,78,,,,Z,medium,466,Z,high,495,X
14,,,64,C,medium,,A,,81,Y,high,75,Z,high,477,Y
15,C,,,C,medium,71,,,86,Z,medium,100,Z,high,320,Y
16,,unknown,81,C,,,,unknown,,X,low,483,Z,medium,478,Y
17,D,high,,,medium,,,,,Z,low,188,X,high,391,X
18,C,unknown,96,D,unknown,72,A,,,Z,medium,286,Y,low,120,X
19,C,,,B,low,33,D,unknown,53,Y,low,217,Z,,15,Y
20,D,low,32,,low,96,A,medium,70,Z,medium,129,Y,low,490,Y
21,,low,72,C,unknown,86,B,,72,Y,medium,253,Y,low,213,X
22,D,high,89,C,unknown,59,B,,96,Z,medium,388,Z,,436,Y
23,B,,,B,unknown,,C,,57,Z,high,5,Y,medium,144,Y
24,A,medium,98,B,medium,59,B,high,34,X,high,437,X,low,180,Y
25,,,19,C,medium,69,,,,Z,low,92,X,,412,Z
26,A,high,41,,low,,D,low,,Z,high,458,Z,high,262,Z
27,A,medium,31,B,medium,14,D,low,80,X,high,481,X,medium,338,X
28,,low,42,D,high,56,A,high,,Z,low,466,Y,low,160,Z
29,,high,,B,medium,80,D,,,Y,medium,325,Y,high,307,X
30,A,high,73,C,medium,31,A,unknown,31,Z,,452,,high,243,Y
31,D,,,A,,45,,unknown,5,,medium,429,X,low,465,Z
32,,,25,,,,D,high,,,medium,319,X,low,246,Z
33,B,medium,,D,high,70,A,,12,Y,high,445,Z,high,44,X
34,C,high,,,high,86,A,high,8,Y,medium,171,X,high,368,X
35,B,,65,D,high,,,medium,70,Y,high,417,X,high,476,X
36,C,,69,,unknown,,,high,43,X,medium,462,Z,,,X
37,D,medium,66,B,low,4,D,low,,Z,medium,,X,low,50,X
38,A,,60,D,medium,,C,unknown,,,low,61,Y,,499,
39,A,,,B,high,94,C,unknown,,X,low,107,X,medium,173,X
40,D,unknown,,,,8,D,medium,61,Y,medium,,Z,high,416,Y
41,C,low,90,A,unknown,,,medium,53,X,low,266,X,high,315,Z
42,C,unknown,38,B,,83,,medium,58,Y,high,216,Y,low,,Y
43,B,medium,51,B,low,,D,,70,Y,low,413,Y,low,170,X
44,,,18,,medium,17,,,38,X,low,141,Z,low,303,Y
45,C,low,35,A,medium,2,A,medium,,Z,high,82,X,low,341,Y
