id,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9
1,male,22,1,0,A/5 21171,7.25,,S,8,,,27,,high,57,C,low
2,female,38,1,0,PC 17599,71.2833,C85,C,77,,,,,low,62,D,
3,female,26,0,0,STON/O2. 3101282,7.925,,S,,,medium,26,D,unknown,65,D,high
4,female,35,1,0,113803,53.1,C123,S,43,D,high,,C,high,19,,
5,male,35,0,0,373450,8.05,,S,,D,low,17,A,,57,C,low
6,male,,0,0,330877,8.4583,,Q,85,C,,18,C,medium,26,C,
7,male,54,0,0,17463,51.8625,E46,S,8,B,,92,D,medium,27,,
8,male,2,3,1,349909,21.075,,S,,,medium,55,A,low,94,D,low
9,female,27,0,2,347742,11.1333,,S,,A,,4,B,,,A,
10,female,14,1,0,237736,30.0708,,C,,B,unknown,,D,,,C,
11,female,4,1,1,PP 9549,16.7,G6,S,52,,high,,B,unknown,,B,
12,female,58,0,0,113783,26.55,C103,S,97,C,high,,D,,24,A,high
13,male,20,0,0,A/5. 2151,8.05,,S,73,B,low,54,C,high,78,,
14,male,39,1,5,347082,31.275,,S,76,,,64,C,medium,,A,
15,female,14,0,0,350406,7.8542,,S,71,C,,,C,medium,71,,
16,female,55,0,0,248706,16,,S,,,unknown,81,C,,,,unknown
17,male,2,4,1,382652,29.125,,Q,51,D,high,,,medium,,,
18,male,,0,0,244373,13,,S,12,C,unknown,96,D,unknown,72,A,
19,female,31,1,0,345763,18,,S,83,C,,,B,low,33,D,unknown
20,female,,0,0,2649,7.225,,C,45,D,low,32,,low,96,A,medium
21,male,35,0,0,239865,26,,S,50,,low,72,C,unknown,86,B,
22,male,34,0,0,248698,13,D56,S,37,D,high,89,C,unknown,59,B,
23,female,15,0,0,330923,8.0292,,Q,,B,,,B,unknown,,C,
24,male,28,0,0,113788,35.5,A6,S,92,A,medium,98,B,medium,59,B,high
25,female,8,3,1,349909,21.075,,S,78,,,19,C,medium,69,,
26,female,38,1,5,347077,31.3875,,S,64,A,high,41,,low,,D,low
27,male,,0,0,2631,7.225,,C,,A,medium,31,B,medium,14,D,low
28,male,19,3,2,19950,263,C23 C25 C27,S,,,low,42,D,high,56,A,high
29,female,,0,0,330959,7.8792,,Q,,,high,,B,medium,80,D,
30,male,,0,0,349216,7.8958,,S,44,A,high,73,C,medium,31,A,unknown
31,male,40,0,0,PC 17601,27.7208,,C,45,D,,,A,,45,,unknown
32,female,,1,0,PC 17569,146.5208,B78,C,22,,,25,,,,D,high
33,female,,0,0,335677,7.75,,Q,9,B,medium,,D,high,70,A,
34,male,66,0,0,C.A. 24579,10.5,,S,55,C,high,,,high,86,A,high
35,male,28,1,0,PC 17604,82.1708,,C,88,B,,65,D,high,,,medium
36,male,42,1,0,113789,52,,S,,C,,69,,unknown,,,high
37,male,,0,0,2677,7.2292,,C,85,D,medium,66,B,low,4,D,low
38,male,21,0,0,A./5. 2152,8.05,,S,82,A,,60,D,medium,,C,unknown
39,female,18,2,0,345764,18,,S,,A,,,B,high,94,C,unknown
40,female,14,1,0,2651,11.2417,,C,63,D,unknown,,,,8,D,medium
41,female,40,1,0,7546,9.475,,S,16,C,low,90,A,unknown,,,medium
42,female,27,1,0,11668,21,,S,,C,unknown,38,B,,83,,medium
43,male,,0,0,349253,7.8958,,C,70,B,medium,51,B,low,,D,
44,female,3,1,2,SC/Paris 2123,41.5792,,C,35,,,18,,medium,17,,
45,female,19,0,0,330958,7.8792,,Q,6,C,low,35,A,medium,2,A,medium
46,male,,0,0,S.C./A.4. 23567,8.05,,S,97,C,low,,D,unknown,,A,high
47,male,,1,0,370371,15.5,,Q,44,A,unknown,64,A,medium,59,B,
48,female,,0,0,14311,7.75,,Q,89,C,,21,,,84,A,medium
49,male,,2,0,2662,21.6792,,C,67,C,,54,C,,88,,low
50,female,18,1,0,349237,17.8,,S,77,A,,,A,medium,45,,high
51,male,7,4,1,3101295,39.6875,,S,75,B,unknown,12,,high,42,B,
52,male,21,0,0,A/4. 39886,7.8,,S,19,,medium,6,D,high,93,B,unknown
53,female,49,1,0,PC 17572,76.7292,D33,C,36,,unknown,,D,,,,low
54,female,29,1,0,2926,26,,S,46,,unknown,65,A,medium,20,,
55,male,65,0,1,113509,61.9792,B30,C,49,,unknown,31,C,low,,,medium
56,male,,0,0,19947,35.5,C52,S,4,C,high,82,,low,71,B,high
57,female,21,0,0,C.A. 31026,10.5,,S,54,B,,84,,,23,D,low
58,male,28.5,0,0,2697,7.2292,,C,15,D,high,53,C,high,97,A,low
59,female,5,1,2,C.A. 34651,27.75,,S,74,,low,,C,,29,B,
60,male,11,5,2,CA 2144,46.9,,S,68,D,,,C,unknown,,,
61,male,22,0,0,2669,7.2292,,C,92,,high,82,,,49,C,
62,female,38,0,0,113572,80,B28,,74,B,unknown,89,,low,69,,
63,male,45,1,0,36973,83.475,C83,S,36,,,,,high,90,D,unknown
64,male,4,3,2,347088,27.9,,S,,C,high,51,C,,39,,
65,male,,0,0,PC 17605,27.7208,,C,,A,,,A,high,,D,medium
66,male,,1,1,2661,15.2458,,C,32,B,,,A,medium,75,,
67,female,29,0,0,C.A. 29395,10.5,F33,S,,B,,13,C,unknown,,A,
68,male,19,0,0,S.P. 3464,8.1583,,S,,A,unknown,67,,high,,,
69,female,17,4,2,3101281,7.925,,S,7,,medium,92,A,,75,A,low
70,male,26,2,0,315151,8.6625,,S,,C,,75,,medium,70,,high
71,male,32,0,0,C.A. 33111,10.5,,S,79,D,,48,D,unknown,,C,low
72,female,16,5,2,CA 2144,46.9,,S,18,A,,52,C,high,,B,
73,male,21,0,0,S.O.C. 14879,73.5,,S,,B,,25,D,high,1,,medium
74,male,26,1,0,2680,14.4542,,C,12,A,high,,D,medium,,,unknown
75,male,32,0,0,1601,56.4958,,S,68,,unknown,24,D,,,C,low
76,male,25,0,0,348123,7.65,F G73,S,47,,unknown,34,A,unknown,,A,
77,male,,0,0,349208,7.8958,,S,,,low,26,,medium,,A,
78,male,,0,0,374746,8.05,,S,22,,low,33,,low,30,,
79,male,0.83,0,2,248738,29,,S,,A,,36,A,medium,89,C,high
80,female,30,0,0,364516,12.475,,S,66,C,,8,,,70,,low
81,male,22,0,0,345767,9,,S,94,C,unknown,,,,56,,medium
82,male,29,0,0,345779,9.5,,S,43,D,low,44,,low,88,B,high
83,female,,0,0,330932,7.7875,,Q,16,D,low,94,,low,9,C,unknown
84,male,28,0,0,113059,47.1,,S,83,D,unknown,,A,medium,64,,unknown
85,female,17,0,0,SO/C 14885,10.5,,S,62,C,unknown,66,B,medium,15,D,
86,female,33,3,0,3101278,15.85,,S,70,,low,,,low,23,A,medium
87,male,16,1,3,W./C. 6608,34.375,,S,9,B,medium,,B,medium,18,D,
88,male,,0,0,SOTON/OQ 392086,8.05,,S,31,A,,49,,,54,,
89,female,23,3,2,19950,263,C23 C25 C27,S,,B,,44,A,low,62,C,
90,male,24,0,0,343275,8.05,,S,,B,,65,,medium,75,A,medium
91,male,29,0,0,343276,8.05,,S,43,A,,,B,,,C,unknown
92,male,20,0,0,347466,7.8542,,S,,A,low,31,B,,93,,medium
93,male,46,1,0,W.E.P. 5734,61.175,E31,S,,C,medium,,D,,37,C,
94,male,26,1,2,C.A. 2315,20.575,,S,38,B,high,18,,,,B,high
95,male,59,0,0,364500,7.25,,S,89,,high,,,high,3,C,
96,male,,0,0,374910,8.05,,S,28,B,,,,,12,C,medium
97,male,71,0,0,PC 17754,34.6542,A5,C,23,D,unknown,95,A,unknown,,B,high
98,male,23,0,1,PC 17759,63.3583,D10 D12,C,68,C,unknown,,,,41,D,unknown
99,female,34,0,1,231919,23,,S,,A,,39,C,,,C,unknown
100,male,34,1,0,244367,26,,S,13,A,,,B,unknown,12,,unknown
101,female,28,0,0,349245,7.8958,,S,83,C,high,80,B,,26,,high
102,male,,0,0,349215,7.8958,,S,,C,,48,B,low,98,D,
103,male,21,0,1,35281,77.2875,D26,S,80,B,medium,96,,unknown,2,B,high
104,male,33,0,0,7540,8.6542,,S,0,C,low,,B,,42,C,
105,male,37,2,0,3101276,7.925,,S,79,,medium,70,,,19,A,unknown
106,male,28,0,0,349207,7.8958,,S,,,,75,C,high,53,B,unknown
107,female,21,0,0,343120,7.65,,S,,A,unknown,,A,unknown,97,C,unknown
108,male,,0,0,312991,7.775,,S,66,B,unknown,,,low,22,D,high
109,male,38,0,0,349249,7.8958,,S,,,,58,C,low,37,C,
110,female,,1,0,371110,24.15,,Q,,D,low,,,unknown,44,,medium
111,male,47,0,0,110465,52,C110,S,,D,low,11,,high,79,B,
112,female,14.5,1,0,2665,14.4542,,C,78,,medium,13,A,low,,C,unknown
113,male,22,0,0,324669,8.05,,S,55,A,,,C,unknown,,,unknown
114,female,20,1,0,4136,9.825,,S,45,,unknown,65,B,,48,A,medium
115,female,17,0,0,2627,14.4583,,C,,A,,28,C,medium,,A,
116,male,21,0,0,STON/O 2. 3101294,7.925,,S,,,,73,A,medium,0,C,
117,male,70.5,0,0,370369,7.75,,Q,3,,,69,,high,80,D,low
118,male,29,1,0,11668,21,,S,13,,medium,,,low,24,,
119,male,24,0,1,PC 17558,247.5208,B58 B60,C,24,A,,91,B,medium,,D,
120,female,2,4,2,347082,31.275,,S,11,,high,88,,,97,,medium
121,male,21,2,0,S.O.C. 14879,73.5,,S,43,C,low,,C,low,63,C,unknown
122,male,,0,0,A4. 54510,8.05,,S,,,medium,76,,unknown,,D,
123,male,32.5,1,0,237736,30.0708,,C,65,D,high,,,low,60,,high
124,female,32.5,0,0,27267,13,E101,S,47,D,medium,40,A,unknown,21,,low
125,male,54,0,1,35281,77.2875,D26,S,85,C,,,D,low,69,C,unknown
126,male,12,1,0,2651,11.2417,,C,56,,,60,A,medium,61,C,
127,male,,0,0,370372,7.75,,Q,7,B,unknown,41,C,low,,,
128,male,24,0,0,C 17369,7.1417,,S,76,D,low,99,,,7,B,
129,female,,1,1,2668,22.3583,F E69,C,57,,low,17,D,high,64,D,high
130,male,45,0,0,347061,6.975,,S,63,,high,9,,low,,,unknown
131,male,33,0,0,349241,7.8958,,C,56,A,medium,2,A,high,77,A,
132,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,55,A,high,81,D,,12,B,
133,female,47,1,0,A/5. 3337,14.5,,S,9,,low,40,C,medium,53,,high
134,female,29,1,0,228414,26,,S,55,,,43,,low,81,B,unknown
135,male,25,0,0,C.A. 29178,13,,S,79,B,unknown,64,C,high,89,,medium
136,male,23,0,0,SC/PARIS 2133,15.0458,,C,30,D,,,A,,93,,
137,female,19,0,2,11752,26.2833,D47,S,,A,medium,57,C,low,,,
138,male,37,1,0,113803,53.1,C123,S,3,C,,5,,,,B,low
139,male,16,0,0,7534,9.2167,,S,34,B,high,,B,medium,57,C,
140,male,24,0,0,PC 17593,79.2,B86,C,43,A,low,,,low,46,D,
141,female,,0,2,2678,15.2458,,C,,D,,45,B,unknown,23,,medium
142,female,22,0,0,347081,7.75,,S,21,A,,16,,high,,C,low
143,female,24,1,0,STON/O2. 3101279,15.85,,S,,,unknown,,,unknown,14,A,
144,male,19,0,0,365222,6.75,,Q,,,,33,D,medium,,A,unknown
145,male,18,0,0,231945,11.5,,S,99,D,medium,27,,,,,low
146,male,19,1,1,C.A. 33112,36.75,,S,85,A,unknown,29,A,,,A,
147,male,27,0,0,350043,7.7958,,S,3,,,72,A,low,10,,low
148,female,9,2,2,W./C. 6608,34.375,,S,23,C,,10,B,medium,26,B,
149,male,36.5,0,2,230080,26,F2,S,,D,unknown,30,D,unknown,,D,high
150,male,42,0,0,244310,13,,S,,A,low,46,B,medium,,,low
151,male,51,0,0,S.O.P. 1166,12.525,,S,85,D,,54,,unknown,44,B,high
152,female,22,1,0,113776,66.6,C2,S,28,C,medium,88,B,medium,4,C,
153,male,55.5,0,0,A.5. 11206,8.05,,S,91,D,unknown,,,medium,1,A,high
154,male,40.5,0,2,A/5. 851,14.5,,S,29,,low,,,,,D,unknown
155,male,,0,0,Fa 265302,7.3125,,S,43,D,unknown,53,,,44,C,
156,male,51,0,1,PC 17597,61.3792,,C,66,C,low,2,A,,7,C,unknown
