id,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24
1,0,A/5 21171,7.25,,S,,27,,high,57,C,low,90,Z,286,Z,medium,193,Z,low
2,0,PC 17599,71.2833,C85,C,,,,low,62,D,,97,X,451,Y,high,451,Z,low
3,0,STON/O2. 3101282,7.925,,S,medium,26,D,unknown,65,D,high,51,Z,337,Z,high,293,Y,high
4,0,113803,53.1,C123,S,high,,C,high,19,,,59,Y,2,Y,medium,382,Y,medium
5,0,373450,8.05,,S,low,17,A,,57,C,low,19,X,244,Z,high,174,X,medium
6,0,330877,8.4583,,Q,,18,C,medium,26,C,,41,X,422,X,,465,Z,low
7,0,17463,51.8625,E46,S,,92,D,medium,27,,,62,X,436,Y,medium,357,Y,medium
8,1,349909,21.075,,S,medium,55,A,low,94,D,low,42,,,Z,high,257,X,medium
9,2,347742,11.1333,,S,,4,B,,,A,,,,238,X,,289,Z,medium
10,0,237736,30.0708,,C,unknown,,D,,,C,,13,Y,53,Y,low,311,Z,low
11,1,PP 9549,16.7,G6,S,high,,B,unknown,,B,,15,Y,106,Y,,80,X,high
12,0,113783,26.55,C103,S,high,,D,,24,A,high,33,X,423,Z,low,125,Y,medium
13,0,A/5. 2151,8.05,,S,low,54,C,high,78,,,,Z,170,Z,low,343,Z,low
14,5,347082,31.275,,S,,64,C,medium,,A,,81,Y,381,X,low,220,Z,low
15,0,350406,7.8542,,S,,,C,medium,71,,,86,Z,18,X,low,391,X,low
16,0,248706,16,,S,unknown,81,C,,,,unknown,,X,245,Z,medium,262,X,low
17,1,382652,29.125,,Q,high,,,medium,,,,,Z,475,X,medium,32,Z,high
18,0,244373,13,,S,unknown,96,D,unknown,72,A,,,Z,,Y,medium,332,Z,high
19,0,345763,18,,S,,,B,low,33,D,unknown,53,Y,15,Z,medium,304,Z,high
20,0,2649,7.225,,C,low,32,,low,96,A,medium,70,Z,144,Z,low,182,Y,low
21,0,239865,26,,S,low,72,C,unknown,86,B,,72,Y,31,Z,medium,395,Z,medium
22,0,248698,13,D56,S,high,89,C,unknown,59,B,,96,Z,306,X,high,175,Y,low
23,0,330923,8.0292,,Q,,,B,unknown,,C,,57,Z,95,X,low,57,Z,low
24,0,113788,35.5,A6,S,medium,98,B,medium,59,B,high,34,X,123,X,low,60,X,medium
25,1,349909,21.075,,S,,19,C,medium,69,,,,Z,293,Z,medium,450,X,medium
