id,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7
1,22,1,0,A/5 21171,7.25,,S,8,,,27,,high,57
2,38,1,0,PC 17599,71.2833,C85,C,77,,,,,low,62
3,26,0,0,STON/O2. 3101282,7.925,,S,,,medium,26,D,unknown,65
4,35,1,0,113803,53.1,C123,S,43,D,high,,C,high,19
5,35,0,0,373450,8.05,,S,,D,low,17,A,,57
6,,0,0,330877,8.4583,,Q,85,C,,18,C,medium,26
7,54,0,0,17463,51.8625,E46,S,8,B,,92,D,medium,27
8,2,3,1,349909,21.075,,S,,,medium,55,A,low,94
9,27,0,2,347742,11.1333,,S,,A,,4,B,,
10,14,1,0,237736,30.0708,,C,,B,unknown,,D,,
11,4,1,1,PP 9549,16.7,G6,S,52,,high,,B,unknown,
12,58,0,0,113783,26.55,C103,S,97,C,high,,D,,24
13,20,0,0,A/5. 2151,8.05,,S,73,B,low,54,C,high,78
14,39,1,5,347082,31.275,,S,76,,,64,C,medium,
15,14,0,0,350406,7.8542,,S,71,C,,,C,medium,71
16,55,0,0,248706,16,,S,,,unknown,81,C,,
17,2,4,1,382652,29.125,,Q,51,D,high,,,medium,
18,,0,0,244373,13,,S,12,C,unknown,96,D,unknown,72
19,31,1,0,345763,18,,S,83,C,,,B,low,33
20,,0,0,2649,7.225,,C,45,D,low,32,,low,96
21,35,0,0,239865,26,,S,50,,low,72,C,unknown,86
22,34,0,0,248698,13,D56,S,37,D,high,89,C,unknown,59
23,15,0,0,330923,8.0292,,Q,,B,,,B,unknown,
24,28,0,0,113788,35.5,A6,S,92,A,medium,98,B,medium,59
25,8,3,1,349909,21.075,,S,78,,,19,C,medium,69
26,38,1,5,347077,31.3875,,S,64,A,high,41,,low,
27,,0,0,2631,7.225,,C,,A,medium,31,B,medium,14
28,19,3,2,19950,263,C23 C25 C27,S,,,low,42,D,high,56
29,,0,0,330959,7.8792,,Q,,,high,,B,medium,80
30,,0,0,349216,7.8958,,S,44,A,high,73,C,medium,31
31,40,0,0,PC 17601,27.7208,,C,45,D,,,A,,45
32,,1,0,PC 17569,146.5208,B78,C,22,,,25,,,
33,,0,0,335677,7.75,,Q,9,B,medium,,D,high,70
34,66,0,0,C.A. 24579,10.5,,S,55,C,high,,,high,86
35,28,1,0,PC 17604,82.1708,,C,88,B,,65,D,high,
36,42,1,0,113789,52,,S,,C,,69,,unknown,
37,,0,0,2677,7.2292,,C,85,D,medium,66,B,low,4
38,21,0,0,A./5. 2152,8.05,,S,82,A,,60,D,medium,
39,18,2,0,345764,18,,S,,A,,,B,high,94
40,14,1,0,2651,11.2417,,C,63,D,unknown,,,,8
41,40,1,0,7546,9.475,,S,16,C,low,90,A,unknown,
42,27,1,0,11668,21,,S,,C,unknown,38,B,,83
43,,0,0,349253,7.8958,,C,70,B,medium,51,B,low,
44,3,1,2,SC/Paris 2123,41.5792,,C,35,,,18,,medium,17
45,19,0,0,330958,7.8792,,Q,6,C,low,35,A,medium,2
46,,0,0,S.C./A.4. 23567,8.05,,S,97,C,low,,D,unknown,
47,,1,0,370371,15.5,,Q,44,A,unknown,64,A,medium,59
48,,0,0,14311,7.75,,Q,89,C,,21,,,84
49,,2,0,2662,21.6792,,C,67,C,,54,C,,88
50,18,1,0,349237,17.8,,S,77,A,,,A,medium,45
51,7,4,1,3101295,39.6875,,S,75,B,unknown,12,,high,42
52,21,0,0,A/4. 39886,7.8,,S,19,,medium,6,D,high,93
53,49,1,0,PC 17572,76.7292,D33,C,36,,unknown,,D,,
54,29,1,0,2926,26,,S,46,,unknown,65,A,medium,20
55,65,0,1,113509,61.9792,B30,C,49,,unknown,31,C,low,
56,,0,0,19947,35.5,C52,S,4,C,high,82,,low,71
57,21,0,0,C.A. 31026,10.5,,S,54,B,,84,,,23
58,28.5,0,0,2697,7.2292,,C,15,D,high,53,C,high,97
59,5,1,2,C.A. 34651,27.75,,S,74,,low,,C,,29
60,11,5,2,CA 2144,46.9,,S,68,D,,,C,unknown,
61,22,0,0,2669,7.2292,,C,92,,high,82,,,49
62,38,0,0,113572,80,B28,,74,B,unknown,89,,low,69
63,45,1,0,36973,83.475,C83,S,36,,,,,high,90
64,4,3,2,347088,27.9,,S,,C,high,51,C,,39
65,,0,0,PC 17605,27.7208,,C,,A,,,A,high,
66,,1,1,2661,15.2458,,C,32,B,,,A,medium,75
67,29,0,0,C.A. 29395,10.5,F33,S,,B,,13,C,unknown,
68,19,0,0,S.P. 3464,8.1583,,S,,A,unknown,67,,high,
69,17,4,2,3101281,7.925,,S,7,,medium,92,A,,75
70,26,2,0,315151,8.6625,,S,,C,,75,,medium,70
