id,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time
1,male,22,1,0,A/5 21171,7.25,,S,8,,,27,,high,57,C,low,90,Z,medium,193,Z,low,78,Y,medium,321,Z,low,330,Y,,379,X,low,420,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""9556-97BF-3B42"",""description"":""nearline storage finland"",""original_region"":""europe-north1""}",12-06-2024,11:31:00,13:44:00
2,female,38,1,0,PC 17599,71.2833,C85,C,77,,,,,low,62,D,,97,X,high,451,Z,low,110,Y,medium,14,Y,low,50,Y,low,40,Y,medium,98,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FDBF-9FEC-415F"",""description"":""standard storage belgium dual-region"",""original_region"":""europe-west1""}",29-12-2024,08:55:00,12:54:00
3,female,26,0,0,STON/O2. 3101282,7.925,,S,,,medium,26,D,unknown,65,D,high,51,Z,high,293,Y,high,43,X,medium,319,X,high,491,Z,low,271,Y,medium,336,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""ED38-3DBE-CF1A"",""description"":""autoclass standard storage dallas dual-region"",""original_region"":""us-south1""}",29-12-2024,12:38:00,15:59:00
4,female,35,1,0,113803,53.1,C123,S,43,D,high,,C,high,19,,,59,Y,medium,382,Y,medium,229,Z,low,245,Y,medium,,X,medium,355,Y,medium,338,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""BB55-3E5A-405C"",""description"":""standard storage london"",""original_region"":""europe-west2""}",19-05-2024,07:20:00,09:00:00
5,male,35,0,0,373450,8.05,,S,,D,low,17,A,,57,C,low,19,X,high,174,X,medium,322,Y,high,227,X,medium,331,Y,low,301,Y,high,405,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""E868-06F7-C27A"",""description"":""autoclass nearline storage hong kong"",""original_region"":""asia-east2""}",15-12-2024,12:21:00,12:44:00
6,male,,0,0,330877,8.4583,,Q,85,C,,18,C,medium,26,C,,41,X,,465,Z,low,337,X,low,303,X,,35,X,high,122,Y,low,404,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""BF52-88CF-5EC3"",""description"":""standard storage mumbai dual-region"",""original_region"":""asia-south1""}",29-10-2024,10:26:00,13:48:00
7,male,54,0,0,17463,51.8625,E46,S,8,B,,92,D,medium,27,,,62,X,medium,357,Y,medium,454,Z,high,447,X,medium,259,,,80,Z,high,492,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FC23-F6BB-9FCE"",""description"":""autoclass coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}",22-08-2024,15:17:00,18:40:00
8,male,2,3,1,349909,21.075,,S,,,medium,55,A,low,94,D,low,42,,high,257,X,medium,146,X,low,63,Y,low,460,Z,medium,145,Z,low,43,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""F57C-6BD5-7FCB"",""description"":""autoclass standard storage tokyo"",""original_region"":""asia-northeast1""}",02-11-2024,09:46:00,13:15:00
9,female,27,0,2,347742,11.1333,,S,,A,,4,B,,,A,,,,,289,Z,medium,327,Y,medium,67,X,medium,118,Z,low,176,Z,medium,182,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-10-2024,18:26:00,19:25:00
10,female,14,1,0,237736,30.0708,,C,,B,unknown,,D,,,C,,13,Y,low,311,Z,low,442,Y,high,348,Z,medium,270,X,high,460,Y,low,181,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""D20B-32C5-0704"",""description"":""autoclass archive storage seoul"",""original_region"":""asia-northeast3""}",23-12-2024,10:27:00,11:19:00
11,female,4,1,1,PP 9549,16.7,G6,S,52,,high,,B,unknown,,B,,15,Y,,80,X,high,14,X,medium,25,Z,low,282,Y,high,310,X,medium,188,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""037C-5FCA-AFF5"",""description"":""archive storage osaka/tokyo dual-region"",""original_region"":""asia1""}",21-05-2024,16:12:00,17:38:00
12,female,58,0,0,113783,26.55,C103,S,97,C,high,,D,,24,A,high,33,X,low,125,Y,medium,390,Z,low,214,Z,medium,348,X,high,417,X,high,,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FCE0-B059-75F6"",""description"":""autoclass coldline storage turin dual-region"",""original_region"":""europe-west12""}",29-01-2024,18:35:00,20:58:00
13,male,20,0,0,A/5. 2151,8.05,,S,73,B,low,54,C,high,78,,,,Z,low,343,Z,low,44,X,medium,247,Z,high,459,Y,high,13,Y,medium,116,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""E5D5-663B-A9DC"",""description"":""archive storage south carolina dual-region"",""original_region"":""us-east1""}",15-06-2024,19:08:00,19:55:00
14,male,39,1,5,347082,31.275,,S,76,,,64,C,medium,,A,,81,Y,low,220,Z,low,275,Z,medium,195,Z,medium,65,X,high,391,Y,medium,482,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""F6E9-7338-D916"",""description"":""autoclass nearline storage montreal dual-region"",""original_region"":""northamerica-northeast1""}",26-04-2024,18:15:00,18:47:00
