"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15"
1,7.25,"","S",8,"","",27,"","high",57,"C","low",90,"Z","high",303,"X","high"
2,71.2833,"C85","C",77,"","",NA,"","low",62,"D","",97,"X","high",388,"Z","high"
3,7.925,"","S",NA,"","medium",26,"D","unknown",65,"D","high",51,"Z","low",262,"X","high"
4,53.1,"C123","S",43,"D","high",NA,"C","high",19,"","",59,"Y","low",72,"Z","medium"
7,51.8625,"E46","S",8,"B","",92,"D","medium",27,"","",62,"X","high",58,"X","low"
10,30.0708,"","C",NA,"B","unknown",NA,"D","",NA,"C","",13,"Y","low",227,"Z","high"
12,26.55,"C103","S",97,"C","high",NA,"D","",24,"A","high",33,"X","low",79,"X","high"
14,31.275,"","S",76,"","",64,"C","medium",NA,"A","",81,"Y","high",75,"Z","high"
15,7.8542,"","S",71,"C","",NA,"C","medium",71,"","",86,"Z","medium",100,"Z","high"
20,7.225,"","C",45,"D","low",32,"","low",96,"A","medium",70,"Z","medium",129,"Y","low"
21,26,"","S",50,"","low",72,"C","unknown",86,"B","",72,"Y","medium",253,"Y","low"
23,8.0292,"","Q",NA,"B","",NA,"B","unknown",NA,"C","",57,"Z","high",5,"Y","medium"
24,35.5,"A6","S",92,"A","medium",98,"B","medium",59,"B","high",34,"X","high",437,"X","low"
27,7.225,"","C",NA,"A","medium",31,"B","medium",14,"D","low",80,"X","high",481,"X","medium"
33,7.75,"","Q",9,"B","medium",NA,"D","high",70,"A","",12,"Y","high",445,"Z","high"
34,10.5,"","S",55,"C","high",NA,"","high",86,"A","high",8,"Y","medium",171,"X","high"
35,82.1708,"","C",88,"B","",65,"D","high",NA,"","medium",70,"Y","high",417,"X","high"
41,9.475,"","S",16,"C","low",90,"A","unknown",NA,"","medium",53,"X","low",266,"X","high"
42,21,"","S",NA,"C","unknown",38,"B","",83,"","medium",58,"Y","high",216,"Y","low"
43,7.8958,"","C",70,"B","medium",51,"B","low",NA,"D","",70,"Y","low",413,"Y","low"
44,41.5792,"","C",35,"","",18,"","medium",17,"","",38,"X","low",141,"Z","low"
48,7.75,"","Q",89,"C","",21,"","",84,"A","medium",21,"Y","low",452,"X","high"
49,21.6792,"","C",67,"C","",54,"C","",88,"","low",8,"Y","high",40,"X","medium"
55,61.9792,"B30","C",49,"","unknown",31,"C","low",NA,"","medium",55,"Y","medium",377,"Z","medium"
58,7.2292,"","C",15,"D","high",53,"C","high",97,"A","low",76,"X","low",50,"X","medium"
59,27.75,"","S",74,"","low",NA,"C","",29,"B","",90,"X","medium",485,"Y","low"
62,80,"B28","",74,"B","unknown",89,"","low",69,"","",48,"Z","medium",320,"X","medium"
64,27.9,"","S",NA,"C","high",51,"C","",39,"","",5,"X","medium",267,"Y","low"
65,27.7208,"","C",NA,"A","",NA,"A","high",NA,"D","medium",11,"Y","high",200,"Y","low"
67,10.5,"F33","S",NA,"B","",13,"C","unknown",NA,"A","",73,"X","low",487,"X","high"
70,8.6625,"","S",NA,"C","",75,"","medium",70,"","high",37,"X","medium",25,"X","low"
72,46.9,"","S",18,"A","",52,"C","high",NA,"B","",11,"X","medium",340,"X","high"
