id,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
1,S,8,,,27,,high,57,C,low,90,Z,high,303,X,high,475,Y,medium,286
2,C,77,,,,,low,62,D,,97,X,high,388,Z,high,412,,,451
3,S,,,medium,26,D,unknown,65,D,high,51,Z,low,262,X,high,49,X,low,337
4,S,43,D,high,,C,high,19,,,59,Y,low,72,Z,medium,343,Y,medium,2
5,S,,D,low,17,A,,57,C,low,19,X,medium,,Y,high,332,,low,244
6,Q,85,C,,18,C,medium,26,C,,41,X,low,,Z,high,442,Z,low,422
7,S,8,B,,92,D,medium,27,,,62,X,high,58,X,low,482,X,high,436
8,S,,,medium,55,A,low,94,D,low,42,,low,63,Y,high,372,X,medium,
9,S,,A,,4,B,,,A,,,,medium,173,X,low,,Z,high,238
10,C,,B,unknown,,D,,,C,,13,Y,low,227,Z,high,176,Z,high,53
11,S,52,,high,,B,unknown,,B,,15,Y,high,,Y,low,449,X,high,106
12,S,97,C,high,,D,,24,A,high,33,X,low,79,X,high,471,,low,423
13,S,73,B,low,54,C,high,78,,,,Z,medium,466,Z,high,495,X,high,170
14,S,76,,,64,C,medium,,A,,81,Y,high,75,Z,high,477,Y,high,381
15,S,71,C,,,C,medium,71,,,86,Z,medium,100,Z,high,320,Y,medium,18
16,S,,,unknown,81,C,,,,unknown,,X,low,483,Z,medium,478,Y,low,245
17,Q,51,D,high,,,medium,,,,,Z,low,188,X,high,391,X,low,475
18,S,12,C,unknown,96,D,unknown,72,A,,,Z,medium,286,Y,low,120,X,medium,
19,S,83,C,,,B,low,33,D,unknown,53,Y,low,217,Z,,15,Y,low,15
20,C,45,D,low,32,,low,96,A,medium,70,Z,medium,129,Y,low,490,Y,low,144
21,S,50,,low,72,C,unknown,86,B,,72,Y,medium,253,Y,low,213,X,medium,31
22,S,37,D,high,89,C,unknown,59,B,,96,Z,medium,388,Z,,436,Y,medium,306
23,Q,,B,,,B,unknown,,C,,57,Z,high,5,Y,medium,144,Y,high,95
24,S,92,A,medium,98,B,medium,59,B,high,34,X,high,437,X,low,180,Y,high,123
25,S,78,,,19,C,medium,69,,,,Z,low,92,X,,412,Z,low,293
26,S,64,A,high,41,,low,,D,low,,Z,high,458,Z,high,262,Z,low,162
27,C,,A,medium,31,B,medium,14,D,low,80,X,high,481,X,medium,338,X,low,325
28,S,,,low,42,D,high,56,A,high,,Z,low,466,Y,low,160,Z,low,465
29,Q,,,high,,B,medium,80,D,,,Y,medium,325,Y,high,307,X,medium,465
30,S,44,A,high,73,C,medium,31,A,unknown,31,Z,,452,,high,243,Y,high,364
31,C,45,D,,,A,,45,,unknown,5,,medium,429,X,low,465,Z,high,484
32,C,22,,,25,,,,D,high,,,medium,319,X,low,246,Z,high,368
33,Q,9,B,medium,,D,high,70,A,,12,Y,high,445,Z,high,44,X,medium,33
34,S,55,C,high,,,high,86,A,high,8,Y,medium,171,X,high,368,X,medium,477
35,C,88,B,,65,D,high,,,medium,70,Y,high,417,X,high,476,X,high,283
36,S,,C,,69,,unknown,,,high,43,X,medium,462,Z,,,X,low,2
37,C,85,D,medium,66,B,low,4,D,low,,Z,medium,,X,low,50,X,,310
38,S,82,A,,60,D,medium,,C,unknown,,,low,61,Y,,499,,medium,122
39,S,,A,,,B,high,94,C,unknown,,X,low,107,X,medium,173,X,medium,267
40,C,63,D,unknown,,,,8,D,medium,61,Y,medium,,Z,high,416,Y,medium,328
41,S,16,C,low,90,A,unknown,,,medium,53,X,low,266,X,high,315,Z,,13
42,S,,C,unknown,38,B,,83,,medium,58,Y,high,216,Y,low,,Y,low,219
43,C,70,B,medium,51,B,low,,D,,70,Y,low,413,Y,low,170,X,high,27
44,C,35,,,18,,medium,17,,,38,X,low,141,Z,low,303,Y,high,
45,Q,6,C,low,35,A,medium,2,A,medium,,Z,high,82,X,low,341,Y,high,105
46,S,97,C,low,,D,unknown,,A,high,,Z,low,307,Y,,77,Z,high,390
47,Q,44,A,unknown,64,A,medium,59,B,,14,Z,low,69,,low,387,,medium,206
48,Q,89,C,,21,,,84,A,medium,21,Y,low,452,X,high,71,X,low,23
49,C,67,C,,54,C,,88,,low,8,Y,high,40,X,medium,414,Z,low,373
50,S,77,A,,,A,medium,45,,high,,Z,high,245,Z,low,63,,high,271
51,S,75,B,unknown,12,,high,42,B,,43,Z,low,474,Y,,89,X,low,70
52,S,19,,medium,6,D,high,93,B,unknown,,Z,medium,276,Y,medium,,Y,medium,281
53,C,36,,unknown,,D,,,,low,92,X,medium,404,,low,91,X,low,124
54,S,46,,unknown,65,A,medium,20,,,,Z,high,211,,low,38,Y,low,317
55,C,49,,unknown,31,C,low,,,medium,55,Y,medium,377,Z,medium,26,X,low,473
56,S,4,C,high,82,,low,71,B,high,,Z,medium,353,Z,low,143,X,low,
57,S,54,B,,84,,,23,D,low,,Z,medium,256,Y,medium,245,Y,low,372
58,C,15,D,high,53,C,high,97,A,low,76,X,low,50,X,medium,22,X,medium,11
59,S,74,,low,,C,,29,B,,90,X,medium,485,Y,low,68,X,high,203
60,S,68,D,,,C,unknown,,,,96,X,medium,,X,low,305,Y,low,444
61,C,92,,high,82,,,49,C,,38,Y,high,178,Z,,159,Y,high,37
62,,74,B,unknown,89,,low,69,,,48,Z,medium,320,X,medium,,Z,medium,464
63,S,36,,,,,high,90,D,unknown,,X,high,384,Z,low,420,X,high,46
64,S,,C,high,51,C,,39,,,5,X,medium,267,Y,low,15,Y,medium,240
65,C,,A,,,A,high,,D,medium,11,Y,high,200,Y,low,474,X,high,90
66,C,32,B,,,A,medium,75,,,4,Y,high,203,,high,341,X,high,10
67,S,,B,,13,C,unknown,,A,,73,X,low,487,X,high,411,X,high,
68,S,,A,unknown,67,,high,,,,22,Y,medium,166,,medium,239,Z,medium,290
69,S,7,,medium,92,A,,75,A,low,,Z,high,427,Z,medium,0,Z,high,361
70,S,,C,,75,,medium,70,,high,37,X,medium,25,X,low,442,Y,high,157
71,S,79,D,,48,D,unknown,,C,low,79,,high,329,X,low,284,Y,low,246
72,S,18,A,,52,C,high,,B,,11,X,medium,340,X,high,18,Z,high,91
73,S,,B,,25,D,high,1,,medium,32,X,,337,Z,low,,Y,low,364
74,C,12,A,high,,D,medium,,,unknown,,Y,medium,210,Y,high,103,Y,medium,
75,S,68,,unknown,24,D,,,C,low,,X,medium,345,X,low,187,Y,low,430
76,S,47,,unknown,34,A,unknown,,A,,56,Y,low,222,,low,221,Y,high,89
77,S,,,low,26,,medium,,A,,16,X,low,296,X,high,213,Y,high,332
78,S,22,,low,33,,low,30,,,66,Z,low,446,Z,high,434,Y,high,165
79,S,,A,,36,A,medium,89,C,high,96,Y,high,336,Z,,471,X,low,
80,S,66,C,,8,,,70,,low,4,X,medium,368,Y,low,339,Z,low,140
81,S,94,C,unknown,,,,56,,medium,8,X,medium,484,Z,medium,316,Z,medium,474
82,S,43,D,low,44,,low,88,B,high,95,Y,medium,109,X,low,,Y,low,418
83,Q,16,D,low,94,,low,9,C,unknown,,Y,medium,293,Y,low,133,Z,medium,233
84,S,83,D,unknown,,A,medium,64,,unknown,91,,high,328,,medium,279,X,low,247
85,S,62,C,unknown,66,B,medium,15,D,,70,X,medium,,Z,low,321,Y,,176
86,S,70,,low,,,low,23,A,medium,,Y,medium,66,Y,low,,Z,medium,213
87,S,9,B,medium,,B,medium,18,D,,,Y,medium,380,Z,medium,,Z,medium,232
88,S,31,A,,49,,,54,,,51,X,medium,97,Y,high,,Z,high,72
89,S,,B,,44,A,low,62,C,,36,Y,medium,204,,low,29,Z,high,161
90,S,,B,,65,,medium,75,A,medium,83,X,low,357,Z,medium,161,Y,low,437
91,S,43,A,,,B,,,C,unknown,4,Z,high,131,Z,high,407,,medium,489
92,S,,A,low,31,B,,93,,medium,,Z,medium,62,,high,,Y,high,27
93,S,,C,medium,,D,,37,C,,55,X,medium,337,Y,medium,108,,high,366
94,S,38,B,high,18,,,,B,high,97,X,medium,140,Y,low,436,Z,medium,119
95,S,89,,high,,,high,3,C,,99,X,medium,413,X,high,76,Y,low,326
96,S,28,B,,,,,12,C,medium,59,Z,high,449,Y,low,79,X,medium,310
97,C,23,D,unknown,95,A,unknown,,B,high,42,Z,low,174,Z,,449,Z,high,439
98,C,68,C,unknown,,,,41,D,unknown,27,X,low,369,Z,medium,,X,low,351
99,S,,A,,39,C,,,C,unknown,99,Y,high,,Y,low,0,Y,,411
100,S,13,A,,,B,unknown,12,,unknown,,X,high,464,Y,low,216,X,medium,400
101,S,83,C,high,80,B,,26,,high,12,Z,medium,122,Z,low,370,X,low,323
102,S,,C,,48,B,low,98,D,,50,X,medium,440,X,high,378,X,medium,205
103,S,80,B,medium,96,,unknown,2,B,high,39,X,medium,393,X,high,43,X,,168
104,S,0,C,low,,B,,42,C,,49,Z,high,156,,high,140,X,medium,173
105,S,79,,medium,70,,,19,A,unknown,,,medium,412,X,low,308,X,high,179
106,S,,,,75,C,high,53,B,unknown,26,Y,high,316,Z,high,330,Z,medium,144
107,S,,A,unknown,,A,unknown,97,C,unknown,,Z,medium,334,X,medium,310,Z,high,155
108,S,66,B,unknown,,,low,22,D,high,,X,medium,189,X,high,168,X,medium,284
109,S,,,,58,C,low,37,C,,32,X,high,117,Y,medium,431,Y,high,135
110,Q,,D,low,,,unknown,44,,medium,0,Y,,348,Y,low,39,,low,174
