"id","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23"
13,73,"B","low",54,"C","high",78,"","",NA,"Z","medium",466,"Z","high",495,"X","high",170,"Z","low",343,"Z"
18,12,"C","unknown",96,"D","unknown",72,"A","",NA,"Z","medium",286,"Y","low",120,"X","medium",NA,"Y","medium",332,"Z"
22,37,"D","high",89,"C","unknown",59,"B","",96,"Z","medium",388,"Z","",436,"Y","medium",306,"X","high",175,"Y"
24,92,"A","medium",98,"B","medium",59,"B","high",34,"X","high",437,"X","low",180,"Y","high",123,"X","low",60,"X"
30,44,"A","high",73,"C","medium",31,"A","unknown",31,"Z","",452,"","high",243,"Y","high",364,"Z","low",302,"X"
37,85,"D","medium",66,"B","low",4,"D","low",NA,"Z","medium",NA,"X","low",50,"X","",310,"Z","high",352,"X"
45,6,"C","low",35,"A","medium",2,"A","medium",NA,"Z","high",82,"X","low",341,"Y","high",105,"Z","medium",199,"X"
47,44,"A","unknown",64,"A","medium",59,"B","",14,"Z","low",69,"","low",387,"","medium",206,"Z","medium",411,"Z"
58,15,"D","high",53,"C","high",97,"A","low",76,"X","low",50,"X","medium",22,"X","medium",11,"X","low",392,"Z"
85,62,"C","unknown",66,"B","medium",15,"D","",70,"X","medium",NA,"Z","low",321,"Y","",176,"Y","medium",94,"X"
124,47,"D","medium",40,"A","unknown",21,"","low",11,"Z","medium",428,"X","low",NA,"Y","medium",367,"X","high",110,"X"
131,56,"A","medium",2,"A","high",77,"A","",NA,"Y","medium",92,"X","high",450,"Y","medium",NA,"Z","low",106,"Z"
135,79,"B","unknown",64,"C","high",89,"","medium",39,"Z","high",347,"Y","medium",366,"Y","low",483,"Y","high",393,""
152,28,"C","medium",88,"B","medium",4,"C","",19,"Z","low",169,"Z","medium",407,"Y","medium",481,"Y","high",279,"Z"
171,10,"B","high",21,"A","medium",22,"","",16,"X","medium",NA,"X","high",359,"X","high",279,"Y","medium",273,"X"
177,71,"B","unknown",62,"B","medium",95,"B","",NA,"X","",413,"X","medium",NA,"X","high",103,"Z","medium",223,"Z"
207,76,"D","high",77,"C","high",92,"C","medium",17,"Y","low",452,"Z","low",NA,"X","low",NA,"Z","low",237,"Y"
269,61,"D","high",38,"D","high",51,"","high",NA,"Z","high",397,"Y","low",479,"Z","high",124,"Z","medium",308,"Z"
288,57,"D","medium",47,"C","high",23,"","low",5,"X","low",236,"X","high",334,"X","low",268,"Z","low",443,"X"
301,36,"D","unknown",20,"D","medium",16,"C","low",33,"","high",417,"Z","high",369,"Z","low",102,"Y","low",357,"Y"
303,0,"B","unknown",52,"B","unknown",83,"C","unknown",38,"X","high",328,"Y","high",473,"X","low",265,"Y","low",412,"Z"
327,23,"C","unknown",99,"A","low",89,"B","low",13,"X","high",318,"Y","low",130,"Y","low",349,"Y","low",420,"Z"
330,55,"D","medium",71,"A","low",3,"D","high",NA,"Y","low",309,"Z","medium",345,"Y","medium",320,"Z","high",19,"Z"
