id,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,Parch_ew_bin,Parch_ew_bin_num,Fare_ew_bin,Fare_ew_bin_num,ExtraCol1_ew_bin,ExtraCol1_ew_bin_num,ExtraCol4_ew_bin,ExtraCol4_ew_bin_num,ExtraCol7_ew_bin,ExtraCol7_ew_bin_num,ExtraCol10_ew_bin,ExtraCol10_ew_bin_num,ExtraCol13_ew_bin,ExtraCol13_ew_bin_num,Fare_smooth_median_bin,Fare_smoothed,ExtraCol1_smooth_median_bin,ExtraCol1_smoothed,ExtraCol2A,ExtraCol2B,ExtraCol2C,ExtraCol2D,Ticket_freq,Cabin_freq,ExtraCol2_freq
1,0,A/5 21171,7.25,B96 B98,S,8,A,high,27,NA,high,57,C,low,90,Z,high,303,X,high,Parch_1,1,Fare_1,1,ExtraCol1_1,1,ExtraCol4_2,2,ExtraCol7_3,3,ExtraCol10_5,5,ExtraCol13_4,4,Fare_1,7.25,ExtraCol1_1,8,1,0,0,0,1,691,441
2,0,PC 17599,71.2833,C85,C,77,A,high,NA,NA,low,62,D,NA,97,X,high,388,Z,high,Parch_1,1,Fare_1,1,ExtraCol1_4,4,NA,NA,ExtraCol7_4,4,ExtraCol10_5,5,ExtraCol13_4,4,Fare_5,71.2833,ExtraCol1_5,77,1,0,0,0,1,1,441
3,0,STON/O2. 3101282,7.925,B96 B98,S,43,A,medium,26,D,unknown,65,D,high,51,Z,low,262,X,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,ExtraCol7_4,4,ExtraCol10_3,3,ExtraCol13_3,3,Fare_2,7.925,ExtraCol1_2,43,1,0,0,0,1,691,441
4,0,113803,53.1,C123,S,43,D,high,NA,C,high,19,NA,NA,59,Y,low,72,Z,medium,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,ExtraCol7_1,1,ExtraCol10_3,3,ExtraCol13_1,1,Fare_5,53.1,ExtraCol1_2,43,0,0,0,1,2,2,155
5,0,373450,8.05,B96 B98,S,43,D,low,17,A,NA,57,C,low,19,X,medium,NA,Y,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_1,1,ExtraCol7_3,3,ExtraCol10_1,1,NA,NA,Fare_2,8.05,ExtraCol1_2,43,0,0,0,1,1,691,155
6,0,330877,8.4583,B96 B98,Q,85,C,high,18,C,medium,26,C,NA,41,X,low,NA,Z,high,Parch_1,1,Fare_1,1,ExtraCol1_5,5,ExtraCol4_1,1,ExtraCol7_2,2,ExtraCol10_3,3,NA,NA,Fare_2,8.4583,ExtraCol1_5,85,0,0,1,0,1,691,153
7,0,17463,51.8625,E46,S,8,B,high,92,D,medium,27,NA,NA,62,X,high,58,X,low,Parch_1,1,Fare_1,1,ExtraCol1_1,1,ExtraCol4_5,5,ExtraCol7_2,2,ExtraCol10_4,4,ExtraCol13_1,1,Fare_5,51.8625,ExtraCol1_1,8,0,1,0,0,1,1,142
8,1,349909,21.075,B96 B98,S,43,A,medium,55,A,low,94,D,low,42,NA,low,63,Y,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_3,3,ExtraCol7_5,5,ExtraCol10_3,3,ExtraCol13_1,1,Fare_3,21.075,ExtraCol1_2,43,1,0,0,0,4,691,441
9,2,347742,11.1333,B96 B98,S,43,A,high,4,B,NA,NA,A,NA,NA,NA,medium,173,X,low,Parch_2,2,Fare_1,1,ExtraCol1_3,3,ExtraCol4_1,1,NA,NA,NA,NA,ExtraCol13_2,2,Fare_3,11.1333,ExtraCol1_2,43,1,0,0,0,3,691,441
10,0,237736,30.0708,B96 B98,C,43,B,unknown,NA,D,NA,NA,C,NA,13,Y,low,227,Z,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,NA,NA,ExtraCol10_1,1,ExtraCol13_3,3,Fare_4,30.0708,ExtraCol1_2,43,0,1,0,0,2,691,142
