id,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol1_ef_bin,ExtraCol1_ef_bin_num,ExtraCol4_ef_bin,ExtraCol4_ef_bin_num,ExtraCol7_ef_bin,ExtraCol7_ef_bin_num,ExtraCol10_ef_bin,ExtraCol10_ef_bin_num,ExtraCol13_ef_bin,ExtraCol13_ef_bin_num,ExtraCol5_freq,ExtraCol6_freq,ExtraCol7_freq,ExtraCol8_freq,ExtraCol9_freq,ExtraCol10_freq
1,7.25,B96 B98,S,8,A,high,27,NA,high,57,C,low,90,Z,high,303,X,high,475,Y,medium,286,Z,medium,193,Z,low,78,Y,ExtraCol1_1,1,ExtraCol4_1,1,ExtraCol7_3,3,ExtraCol10_5,5,ExtraCol13_3,3,0,162,10,166,149,4
2,71.2833,C85,C,77,A,high,51,NA,low,62,D,NA,97,X,high,388,Z,high,412,NA,NA,451,Y,high,451,Z,low,110,Y,ExtraCol1_5,5,ExtraCol4_2,2,ExtraCol7_4,4,ExtraCol10_5,5,ExtraCol13_4,4,0,140,8,147,0,5
3,7.925,B96 B98,S,43,A,medium,26,D,unknown,65,D,high,51,Z,low,262,X,high,49,X,low,337,Z,high,293,Y,high,43,X,ExtraCol1_2,2,ExtraCol4_1,1,ExtraCol7_4,4,ExtraCol10_3,3,ExtraCol13_3,3,163,159,9,147,142,9
4,53.1,C123,S,43,D,high,51,C,high,19,NA,NA,59,Y,low,72,Z,medium,343,Y,medium,2,Y,medium,382,Y,medium,229,Z,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_1,1,ExtraCol10_3,3,ExtraCol13_1,1,152,162,8,0,0,5
5,8.05,B96 B98,S,43,D,low,17,A,NA,57,C,low,19,X,medium,NA,Y,high,332,NA,low,244,Z,high,174,X,medium,322,Y,ExtraCol1_2,2,ExtraCol4_1,1,ExtraCol7_3,3,ExtraCol10_2,2,NA,NA,144,0,10,166,149,5
6,8.4583,B96 B98,Q,85,C,high,18,C,medium,26,C,NA,41,X,low,NA,Z,high,442,Z,low,422,X,NA,465,Z,low,337,X,ExtraCol1_5,5,ExtraCol4_1,1,ExtraCol7_2,2,ExtraCol10_3,3,NA,NA,152,165,7,166,0,12
7,51.8625,E46,S,8,B,high,92,D,medium,27,NA,NA,62,X,high,58,X,low,482,X,high,436,Y,medium,357,Y,medium,454,Z,ExtraCol1_1,1,ExtraCol4_4,4,ExtraCol7_2,2,ExtraCol10_4,4,ExtraCol13_1,1,163,165,3,0,0,9
8,21.075,B96 B98,S,43,A,medium,55,A,low,94,D,low,42,NA,low,63,Y,high,372,X,medium,NA,Z,high,257,X,medium,146,X,ExtraCol1_2,2,ExtraCol4_3,3,ExtraCol7_5,5,ExtraCol10_3,3,ExtraCol13_1,1,144,140,11,147,149,8
9,11.1333,B96 B98,S,43,A,high,4,B,NA,NA,A,NA,NA,NA,medium,173,X,low,NA,Z,high,238,X,NA,289,Z,medium,327,Y,ExtraCol1_2,2,ExtraCol4_1,1,NA,NA,NA,NA,ExtraCol13_2,2,147,0,0,178,0,0
10,30.0708,B96 B98,C,43,B,unknown,51,D,NA,NA,C,NA,13,Y,low,227,Z,high,176,Z,high,53,Y,low,311,Z,low,442,Y,ExtraCol1_2,2,ExtraCol4_2,2,NA,NA,ExtraCol10_1,1,ExtraCol13_3,3,163,0,0,166,0,5
11,16.7,G6,S,52,A,high,51,B,unknown,NA,B,NA,15,Y,high,NA,Y,low,449,X,high,106,Y,NA,80,X,high,14,X,ExtraCol1_4,4,ExtraCol4_2,2,NA,NA,ExtraCol10_1,1,NA,NA,147,159,0,137,0,9
12,26.55,C103,S,97,C,high,51,D,NA,24,A,high,33,X,low,79,X,high,471,NA,low,423,Z,low,125,Y,medium,390,Z,ExtraCol1_5,5,ExtraCol4_2,2,ExtraCol7_2,2,ExtraCol10_2,2,ExtraCol13_1,1,163,0,3,178,142,6
13,8.05,B96 B98,S,73,B,low,54,C,high,78,NA,NA,NA,Z,medium,466,Z,high,495,X,high,170,Z,low,343,Z,low,44,X,ExtraCol1_4,4,ExtraCol4_3,3,ExtraCol7_4,4,NA,NA,ExtraCol13_5,5,152,162,5,0,0,0
14,31.275,B96 B98,S,76,A,high,64,C,medium,NA,A,NA,81,Y,high,75,Z,high,477,Y,high,381,X,low,220,Z,low,275,Z,ExtraCol1_5,5,ExtraCol4_3,3,NA,NA,ExtraCol10_5,5,ExtraCol13_1,1,152,165,0,178,0,5
15,7.8542,B96 B98,S,71,C,high,51,C,medium,71,NA,NA,86,Z,medium,100,Z,high,320,Y,medium,18,X,low,391,X,low,415,Z,ExtraCol1_4,4,ExtraCol4_2,2,ExtraCol7_4,4,ExtraCol10_5,5,ExtraCol13_1,1,152,165,5,0,0,7
16,16,B96 B98,S,43,A,unknown,81,C,NA,NA,NA,unknown,NA,X,low,483,Z,medium,478,Y,low,245,Z,medium,262,X,low,229,X,ExtraCol1_2,2,ExtraCol4_4,4,NA,NA,NA,NA,ExtraCol13_5,5,152,0,0,0,169,0
17,29.125,B96 B98,Q,51,D,high,51,NA,medium,NA,NA,NA,NA,Z,low,188,X,high,391,X,low,475,X,medium,32,Z,high,279,Y,ExtraCol1_4,4,ExtraCol4_2,2,NA,NA,NA,NA,ExtraCol13_2,2,0,165,0,0,0,0
18,13,B96 B98,S,12,C,unknown,96,D,unknown,72,A,NA,NA,Z,medium,286,Y,low,120,X,medium,NA,Y,medium,332,Z,high,309,X,ExtraCol1_1,1,ExtraCol4_4,4,ExtraCol7_4,4,NA,NA,ExtraCol13_3,3,163,159,7,178,0,0
19,18,B96 B98,S,83,C,high,51,B,low,33,D,unknown,53,Y,low,217,Z,NA,15,Y,low,15,Z,medium,304,Z,high,288,Y,ExtraCol1_5,5,ExtraCol4_2,2,ExtraCol7_2,2,ExtraCol10_3,3,ExtraCol13_2,2,147,140,6,147,169,6
