id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
1,A/5 21171,7.25,,S,8,,,27,,high,57,C,low,90,Z,high,303,X,high,475,Y,medium,286
2,PC 17599,71.2833,C85,C,77,,,,,low,62,D,,97,X,high,388,Z,high,412,,,451
3,STON/O2. 3101282,7.925,,S,,,medium,26,D,unknown,65,D,high,51,Z,low,262,X,high,49,X,low,337
4,113803,53.1,C123,S,43,D,high,,C,high,19,,,59,Y,low,72,Z,medium,343,Y,medium,2
5,373450,8.05,,S,,D,low,17,A,,57,C,low,19,X,medium,,Y,high,332,,low,244
6,330877,8.4583,,Q,85,C,,18,C,medium,26,C,,41,X,low,,Z,high,442,Z,low,422
7,17463,51.8625,E46,S,8,B,,92,D,medium,27,,,62,X,high,58,X,low,482,X,high,436
8,349909,21.075,,S,,,medium,55,A,low,94,D,low,42,,low,63,Y,high,372,X,medium,
9,347742,11.1333,,S,,A,,4,B,,,A,,,,medium,173,X,low,,Z,high,238
10,237736,30.0708,,C,,B,unknown,,D,,,C,,13,Y,low,227,Z,high,176,Z,high,53
11,PP 9549,16.7,G6,S,52,,high,,B,unknown,,B,,15,Y,high,,Y,low,449,X,high,106
12,113783,26.55,C103,S,97,C,high,,D,,24,A,high,33,X,low,79,X,high,471,,low,423
13,A/5. 2151,8.05,,S,73,B,low,54,C,high,78,,,,Z,medium,466,Z,high,495,X,high,170
14,347082,31.275,,S,76,,,64,C,medium,,A,,81,Y,high,75,Z,high,477,Y,high,381
15,350406,7.8542,,S,71,C,,,C,medium,71,,,86,Z,medium,100,Z,high,320,Y,medium,18
16,248706,16,,S,,,unknown,81,C,,,,unknown,,X,low,483,Z,medium,478,Y,low,245
17,382652,29.125,,Q,51,D,high,,,medium,,,,,Z,low,188,X,high,391,X,low,475
18,244373,13,,S,12,C,unknown,96,D,unknown,72,A,,,Z,medium,286,Y,low,120,X,medium,
19,345763,18,,S,83,C,,,B,low,33,D,unknown,53,Y,low,217,Z,,15,Y,low,15
20,2649,7.225,,C,45,D,low,32,,low,96,A,medium,70,Z,medium,129,Y,low,490,Y,low,144
