id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol4_quantile_bin,ExtraCol7_quantile_bin,ExtraCol10_quantile_bin,ExtraCol13_quantile_bin,ExtraCol3_freq,ExtraCol5_freq,ExtraCol6_freq,ExtraCol2_freq
1,A,high,27,D,high,57,C,low,90,Z,high,303,X,high,475,Y,medium,ExtraCol4_1,ExtraCol7_3,ExtraCol10_5,ExtraCol13_3,452,448,162,441
2,A,high,51,D,low,62,D,NA,97,X,high,388,Z,high,412,NA,NA,ExtraCol4_2,ExtraCol7_4,ExtraCol10_5,ExtraCol13_4,452,448,140,441
3,A,medium,26,D,unknown,65,D,high,51,Z,low,262,X,high,49,X,low,ExtraCol4_1,ExtraCol7_4,ExtraCol10_3,ExtraCol13_3,137,448,159,441
4,D,high,51,C,high,19,NA,NA,59,Y,low,72,Z,medium,343,Y,medium,ExtraCol4_2,ExtraCol7_1,ExtraCol10_3,ExtraCol13_1,452,152,162,155
5,D,low,17,A,NA,57,C,low,19,X,medium,NA,Y,high,332,NA,low,ExtraCol4_1,ExtraCol7_3,ExtraCol10_2,NA,157,144,0,155
6,C,high,18,C,medium,26,C,NA,41,X,low,NA,Z,high,442,Z,low,ExtraCol4_1,ExtraCol7_2,ExtraCol10_3,NA,452,152,165,153
7,B,high,92,D,medium,27,NA,NA,62,X,high,58,X,low,482,X,high,ExtraCol4_4,ExtraCol7_2,ExtraCol10_4,ExtraCol13_1,452,448,165,142
8,A,medium,55,A,low,94,D,low,42,NA,low,63,Y,high,372,X,medium,ExtraCol4_3,ExtraCol7_5,ExtraCol10_3,ExtraCol13_1,137,144,140,441
9,A,high,4,B,NA,NA,A,NA,NA,NA,medium,173,X,low,NA,Z,high,ExtraCol4_1,NA,NA,ExtraCol13_2,452,147,0,441
10,B,unknown,51,D,NA,NA,C,NA,13,Y,low,227,Z,high,176,Z,high,ExtraCol4_2,NA,ExtraCol10_1,ExtraCol13_3,145,448,0,142
11,A,high,51,B,unknown,NA,B,NA,15,Y,high,NA,Y,low,449,X,high,ExtraCol4_2,NA,ExtraCol10_1,NA,452,147,159,441
12,C,high,51,D,NA,24,A,high,33,X,low,79,X,high,471,NA,low,ExtraCol4_2,ExtraCol7_2,ExtraCol10_2,ExtraCol13_1,452,448,0,153
13,B,low,54,C,high,78,NA,NA,NA,Z,medium,466,Z,high,495,X,high,ExtraCol4_3,ExtraCol7_4,NA,ExtraCol13_5,157,152,162,142
