"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol4_ef_bin","ExtraCol4_ef_bin_num","ExtraCol7_ef_bin","ExtraCol7_ef_bin_num","ExtraCol10_ef_bin","ExtraCol10_ef_bin_num"
1,7.25,"Missing","S","8","","",27,"","high",57,"C","low",90,"Z","high",303,"X","high",475,"Y","medium",286,"Z","medium",193,"ExtraCol4_2",2,"ExtraCol7_3",3,"ExtraCol10_5",5
2,71.2833,"C85","C","77","","",NA,"","low",62,"D","",97,"X","high",388,"Z","high",412,"","",451,"Y","high",451,NA,NA,"ExtraCol7_4",4,"ExtraCol10_5",5
3,7.925,"Missing","S","Missing","","medium",26,"D","unknown",65,"D","high",51,"Z","low",262,"X","high",49,"X","low",337,"Z","high",293,"ExtraCol4_2",2,"ExtraCol7_4",4,"ExtraCol10_3",3
4,53.1,"C123","S","43","D","high",NA,"C","high",19,"","",59,"Y","low",72,"Z","medium",343,"Y","medium",2,"Y","medium",382,NA,NA,"ExtraCol7_1",1,"ExtraCol10_3",3
5,8.05,"Missing","S","Missing","D","low",17,"A","",57,"C","low",19,"X","medium",NA,"Y","high",332,"","low",244,"Z","high",174,"ExtraCol4_1",1,"ExtraCol7_3",3,"ExtraCol10_2",2
6,8.4583,"Missing","Q","85","C","",18,"C","medium",26,"C","",41,"X","low",NA,"Z","high",442,"Z","low",422,"X","",465,"ExtraCol4_1",1,"ExtraCol7_2",2,"ExtraCol10_3",3
7,51.8625,"E46","S","8","B","",92,"D","medium",27,"","",62,"X","high",58,"X","low",482,"X","high",436,"Y","medium",357,"ExtraCol4_5",5,"ExtraCol7_2",2,"ExtraCol10_4",4
8,21.075,"Missing","S","Missing","","medium",55,"A","low",94,"D","low",42,"","low",63,"Y","high",372,"X","medium",NA,"Z","high",257,"ExtraCol4_3",3,"ExtraCol7_5",5,"ExtraCol10_3",3
9,11.1333,"Missing","S","Missing","A","",4,"B","",NA,"A","",NA,"","medium",173,"X","low",NA,"Z","high",238,"X","",289,"ExtraCol4_1",1,NA,NA,NA,NA
10,30.0708,"Missing","C","Missing","B","unknown",NA,"D","",NA,"C","",13,"Y","low",227,"Z","high",176,"Z","high",53,"Y","low",311,NA,NA,NA,NA,"ExtraCol10_1",1
11,16.7,"G6","S","52","","high",NA,"B","unknown",NA,"B","",15,"Y","high",NA,"Y","low",449,"X","high",106,"Y","",80,NA,NA,NA,NA,"ExtraCol10_1",1
12,26.55,"C103","S","97","C","high",NA,"D","",24,"A","high",33,"X","low",79,"X","high",471,"","low",423,"Z","low",125,NA,NA,"ExtraCol7_2",2,"ExtraCol10_2",2
13,8.05,"Missing","S","73","B","low",54,"C","high",78,"","",NA,"Z","medium",466,"Z","high",495,"X","high",170,"Z","low",343,"ExtraCol4_3",3,"ExtraCol7_4",4,NA,NA
14,31.275,"Missing","S","76","","",64,"C","medium",NA,"A","",81,"Y","high",75,"Z","high",477,"Y","high",381,"X","low",220,"ExtraCol4_4",4,NA,NA,"ExtraCol10_5",5
15,7.8542,"Missing","S","71","C","",NA,"C","medium",71,"","",86,"Z","medium",100,"Z","high",320,"Y","medium",18,"X","low",391,NA,NA,"ExtraCol7_4",4,"ExtraCol10_5",5
16,16,"Missing","S","Missing","","unknown",81,"C","",NA,"","unknown",NA,"X","low",483,"Z","medium",478,"Y","low",245,"Z","medium",262,"ExtraCol4_5",5,NA,NA,NA,NA
17,29.125,"Missing","Q","51","D","high",NA,"","medium",NA,"","",NA,"Z","low",188,"X","high",391,"X","low",475,"X","medium",32,NA,NA,NA,NA,NA,NA
18,13,"Missing","S","12","C","unknown",96,"D","unknown",72,"A","",NA,"Z","medium",286,"Y","low",120,"X","medium",NA,"Y","medium",332,"ExtraCol4_5",5,"ExtraCol7_4",4,NA,NA
19,18,"Missing","S","83","C","",NA,"B","low",33,"D","unknown",53,"Y","low",217,"Z","",15,"Y","low",15,"Z","medium",304,NA,NA,"ExtraCol7_2",2,"ExtraCol10_3",3
20,7.225,"Missing","C","45","D","low",32,"","low",96,"A","medium",70,"Z","medium",129,"Y","low",490,"Y","low",144,"Z","low",182,"ExtraCol4_2",2,"ExtraCol7_5",5,"ExtraCol10_4",4
21,26,"Missing","S","50","","low",72,"C","unknown",86,"B","",72,"Y","medium",253,"Y","low",213,"X","medium",31,"Z","medium",395,"ExtraCol4_4",4,"ExtraCol7_5",5,"ExtraCol10_4",4
22,13,"D56","S","37","D","high",89,"C","unknown",59,"B","",96,"Z","medium",388,"Z","",436,"Y","medium",306,"X","high",175,"ExtraCol4_5",5,"ExtraCol7_3",3,"ExtraCol10_5",5
23,8.0292,"Missing","Q","Missing","B","",NA,"B","unknown",NA,"C","",57,"Z","high",5,"Y","medium",144,"Y","high",95,"X","low",57,NA,NA,NA,NA,"ExtraCol10_3",3
24,35.5,"A6","S","92","A","medium",98,"B","medium",59,"B","high",34,"X","high",437,"X","low",180,"Y","high",123,"X","low",60,"ExtraCol4_5",5,"ExtraCol7_3",3,"ExtraCol10_2",2
25,21.075,"Missing","S","78","","",19,"C","medium",69,"","",NA,"Z","low",92,"X","",412,"Z","low",293,"Z","medium",450,"ExtraCol4_1",1,"ExtraCol7_4",4,NA,NA
26,31.3875,"Missing","S","64","A","high",41,"","low",NA,"D","low",NA,"Z","high",458,"Z","high",262,"Z","low",162,"X","",188,"ExtraCol4_2",2,NA,NA,NA,NA
27,7.225,"Missing","C","Missing","A","medium",31,"B","medium",14,"D","low",80,"X","high",481,"X","medium",338,"X","low",325,"Y","medium",207,"ExtraCol4_2",2,"ExtraCol7_1",1,"ExtraCol10_5",5
28,263,"C23 C25 C27","S","Missing","","low",42,"D","high",56,"A","high",NA,"Z","low",466,"Y","low",160,"Z","low",465,"","high",152,"ExtraCol4_2",2,"ExtraCol7_3",3,NA,NA
29,7.8792,"Missing","Q","Missing","","high",NA,"B","medium",80,"D","",NA,"Y","medium",325,"Y","high",307,"X","medium",465,"Y","low",368,NA,NA,"ExtraCol7_4",4,NA,NA
30,7.8958,"Missing","S","44","A","high",73,"C","medium",31,"A","unknown",31,"Z","",452,"","high",243,"Y","high",364,"Z","low",302,"ExtraCol4_4",4,"ExtraCol7_2",2,"ExtraCol10_2",2
31,27.7208,"Missing","C","45","D","",NA,"A","",45,"","unknown",5,"","medium",429,"X","low",465,"Z","high",484,"Y","medium",449,NA,NA,"ExtraCol7_3",3,"ExtraCol10_1",1
32,146.5208,"B78","C","22","","",25,"","",NA,"D","high",NA,"","medium",319,"X","low",246,"Z","high",368,"Y","low",447,"ExtraCol4_2",2,NA,NA,NA,NA
33,7.75,"Missing","Q","9","B","medium",NA,"D","high",70,"A","",12,"Y","high",445,"Z","high",44,"X","medium",33,"Z","low",494,NA,NA,"ExtraCol7_4",4,"ExtraCol10_1",1
34,10.5,"Missing","S","55","C","high",NA,"","high",86,"A","high",8,"Y","medium",171,"X","high",368,"X","medium",477,"Y","low",NA,NA,NA,"ExtraCol7_5",5,"ExtraCol10_1",1
35,82.1708,"Missing","C","88","B","",65,"D","high",NA,"","medium",70,"Y","high",417,"X","high",476,"X","high",283,"X","low",291,"ExtraCol4_4",4,NA,NA,"ExtraCol10_4",4
36,52,"Missing","S","Missing","C","",69,"","unknown",NA,"","high",43,"X","medium",462,"Z","",NA,"X","low",2,"Y","high",173,"ExtraCol4_4",4,NA,NA,"ExtraCol10_3",3
37,7.2292,"Missing","C","85","D","medium",66,"B","low",4,"D","low",NA,"Z","medium",NA,"X","low",50,"X","",310,"Z","high",352,"ExtraCol4_4",4,"ExtraCol7_1",1,NA,NA
38,8.05,"Missing","S","82","A","",60,"D","medium",NA,"C","unknown",NA,"","low",61,"Y","",499,"","medium",122,"Z","medium",374,"ExtraCol4_3",3,NA,NA,NA,NA
39,18,"Missing","S","Missing","A","",NA,"B","high",94,"C","unknown",NA,"X","low",107,"X","medium",173,"X","medium",267,"X","",125,NA,NA,"ExtraCol7_5",5,NA,NA
40,11.2417,"Missing","C","63","D","unknown",NA,"","",8,"D","medium",61,"Y","medium",NA,"Z","high",416,"Y","medium",328,"","high",429,NA,NA,"ExtraCol7_1",1,"ExtraCol10_4",4
41,9.475,"Missing","S","16","C","low",90,"A","unknown",NA,"","medium",53,"X","low",266,"X","high",315,"Z","",13,"Y","low",145,"ExtraCol4_5",5,NA,NA,"ExtraCol10_3",3
42,21,"Missing","S","Missing","C","unknown",38,"B","",83,"","medium",58,"Y","high",216,"Y","low",NA,"Y","low",219,"Z","medium",491,"ExtraCol4_2",2,"ExtraCol7_5",5,"ExtraCol10_3",3
43,7.8958,"Missing","C","70","B","medium",51,"B","low",NA,"D","",70,"Y","low",413,"Y","low",170,"X","high",27,"Y","high",425,"ExtraCol4_3",3,NA,NA,"ExtraCol10_4",4
44,41.5792,"Missing","C","35","","",18,"","medium",17,"","",38,"X","low",141,"Z","low",303,"Y","high",NA,"Y","medium",9,"ExtraCol4_1",1,"ExtraCol7_1",1,"ExtraCol10_2",2
45,7.8792,"Missing","Q","6","C","low",35,"A","medium",2,"A","medium",NA,"Z","high",82,"X","low",341,"Y","high",105,"Z","medium",199,"ExtraCol4_2",2,"ExtraCol7_1",1,NA,NA
