"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16"
1,7.25,"","S",8,"","",27,"","high",57,"C","low",90,"Z","high",303,"X","high",475
2,71.2833,"C85","C",77,"","",51,"","low",62,"D","",97,"X","high",388,"Z","high",412
3,7.925,"","S",51,"","medium",26,"D","unknown",65,"D","high",51,"Z","low",262,"X","high",49
4,53.1,"C123","S",43,"D","high",51,"C","high",19,"","",59,"Y","low",72,"Z","medium",343
5,8.05,"","S",51,"D","low",17,"A","",57,"C","low",19,"X","medium",NA,"Y","high",332
6,8.4583,"","Q",85,"C","",18,"C","medium",26,"C","",41,"X","low",NA,"Z","high",442
7,51.8625,"E46","S",8,"B","",92,"D","medium",27,"","",62,"X","high",58,"X","low",482
8,21.075,"","S",51,"","medium",55,"A","low",94,"D","low",42,"","low",63,"Y","high",372
9,11.1333,"","S",51,"A","",4,"B","",NA,"A","",NA,"","medium",173,"X","low",NA
10,30.0708,"","C",51,"B","unknown",51,"D","",NA,"C","",13,"Y","low",227,"Z","high",176
11,16.7,"G6","S",52,"","high",51,"B","unknown",NA,"B","",15,"Y","high",NA,"Y","low",449
12,26.55,"C103","S",97,"C","high",51,"D","",24,"A","high",33,"X","low",79,"X","high",471
13,8.05,"","S",73,"B","low",54,"C","high",78,"","",NA,"Z","medium",466,"Z","high",495
14,31.275,"","S",76,"","",64,"C","medium",NA,"A","",81,"Y","high",75,"Z","high",477
15,7.8542,"","S",71,"C","",51,"C","medium",71,"","",86,"Z","medium",100,"Z","high",320
16,16,"","S",51,"","unknown",81,"C","",NA,"","unknown",NA,"X","low",483,"Z","medium",478
17,29.125,"","Q",51,"D","high",51,"","medium",NA,"","",NA,"Z","low",188,"X","high",391
18,13,"","S",12,"C","unknown",96,"D","unknown",72,"A","",NA,"Z","medium",286,"Y","low",120
19,18,"","S",83,"C","",51,"B","low",33,"D","unknown",53,"Y","low",217,"Z","",15
20,7.225,"","C",45,"D","low",32,"","low",96,"A","medium",70,"Z","medium",129,"Y","low",490
21,26,"","S",50,"","low",72,"C","unknown",86,"B","",72,"Y","medium",253,"Y","low",213
22,13,"D56","S",37,"D","high",89,"C","unknown",59,"B","",96,"Z","medium",388,"Z","",436
23,8.0292,"","Q",51,"B","",51,"B","unknown",NA,"C","",57,"Z","high",5,"Y","medium",144
24,35.5,"A6","S",92,"A","medium",98,"B","medium",59,"B","high",34,"X","high",437,"X","low",180
25,21.075,"","S",78,"","",19,"C","medium",69,"","",NA,"Z","low",92,"X","",412
26,31.3875,"","S",64,"A","high",41,"","low",NA,"D","low",NA,"Z","high",458,"Z","high",262
27,7.225,"","C",51,"A","medium",31,"B","medium",14,"D","low",80,"X","high",481,"X","medium",338
28,263,"C23 C25 C27","S",51,"","low",42,"D","high",56,"A","high",NA,"Z","low",466,"Y","low",160
29,7.8792,"","Q",51,"","high",51,"B","medium",80,"D","",NA,"Y","medium",325,"Y","high",307
30,7.8958,"","S",44,"A","high",73,"C","medium",31,"A","unknown",31,"Z","",452,"","high",243
31,27.7208,"","C",45,"D","",51,"A","",45,"","unknown",5,"","medium",429,"X","low",465
32,146.5208,"B78","C",22,"","",25,"","",NA,"D","high",NA,"","medium",319,"X","low",246
33,7.75,"","Q",9,"B","medium",51,"D","high",70,"A","",12,"Y","high",445,"Z","high",44
34,10.5,"","S",55,"C","high",51,"","high",86,"A","high",8,"Y","medium",171,"X","high",368
35,82.1708,"","C",88,"B","",65,"D","high",NA,"","medium",70,"Y","high",417,"X","high",476
36,52,"","S",51,"C","",69,"","unknown",NA,"","high",43,"X","medium",462,"Z","",NA
37,7.2292,"","C",85,"D","medium",66,"B","low",4,"D","low",NA,"Z","medium",NA,"X","low",50
38,8.05,"","S",82,"A","",60,"D","medium",NA,"C","unknown",NA,"","low",61,"Y","",499
39,18,"","S",51,"A","",51,"B","high",94,"C","unknown",NA,"X","low",107,"X","medium",173
40,11.2417,"","C",63,"D","unknown",51,"","",8,"D","medium",61,"Y","medium",NA,"Z","high",416
41,9.475,"","S",16,"C","low",90,"A","unknown",NA,"","medium",53,"X","low",266,"X","high",315
42,21,"","S",51,"C","unknown",38,"B","",83,"","medium",58,"Y","high",216,"Y","low",NA
43,7.8958,"","C",70,"B","medium",51,"B","low",NA,"D","",70,"Y","low",413,"Y","low",170
44,41.5792,"","C",35,"","",18,"","medium",17,"","",38,"X","low",141,"Z","low",303
45,7.8792,"","Q",6,"C","low",35,"A","medium",2,"A","medium",NA,"Z","high",82,"X","low",341
46,8.05,"","S",97,"C","low",51,"D","unknown",NA,"A","high",NA,"Z","low",307,"Y","",77
47,15.5,"","Q",44,"A","unknown",64,"A","medium",59,"B","",14,"Z","low",69,"","low",387
48,7.75,"","Q",89,"C","",21,"","",84,"A","medium",21,"Y","low",452,"X","high",71
49,21.6792,"","C",67,"C","",54,"C","",88,"","low",8,"Y","high",40,"X","medium",414
50,17.8,"","S",77,"A","",51,"A","medium",45,"","high",NA,"Z","high",245,"Z","low",63
51,39.6875,"","S",75,"B","unknown",12,"","high",42,"B","",43,"Z","low",474,"Y","",89
52,7.8,"","S",19,"","medium",6,"D","high",93,"B","unknown",NA,"Z","medium",276,"Y","medium",NA
53,76.7292,"D33","C",36,"","unknown",51,"D","",NA,"","low",92,"X","medium",404,"","low",91
54,26,"","S",46,"","unknown",65,"A","medium",20,"","",NA,"Z","high",211,"","low",38
55,61.9792,"B30","C",49,"","unknown",31,"C","low",NA,"","medium",55,"Y","medium",377,"Z","medium",26
56,35.5,"C52","S",4,"C","high",82,"","low",71,"B","high",NA,"Z","medium",353,"Z","low",143
57,10.5,"","S",54,"B","",84,"","",23,"D","low",NA,"Z","medium",256,"Y","medium",245
58,7.2292,"","C",15,"D","high",53,"C","high",97,"A","low",76,"X","low",50,"X","medium",22
59,27.75,"","S",74,"","low",51,"C","",29,"B","",90,"X","medium",485,"Y","low",68
60,46.9,"","S",68,"D","",51,"C","unknown",NA,"","",96,"X","medium",NA,"X","low",305
61,7.2292,"","C",92,"","high",82,"","",49,"C","",38,"Y","high",178,"Z","",159
62,80,"B28","",74,"B","unknown",89,"","low",69,"","",48,"Z","medium",320,"X","medium",NA
63,83.475,"C83","S",36,"","",51,"","high",90,"D","unknown",NA,"X","high",384,"Z","low",420
64,27.9,"","S",51,"C","high",51,"C","",39,"","",5,"X","medium",267,"Y","low",15
65,27.7208,"","C",51,"A","",51,"A","high",NA,"D","medium",11,"Y","high",200,"Y","low",474
