id,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol19_ew_bin,ExtraCol19_ew_bin_num,ExtraCol16_ew_bin,ExtraCol16_ew_bin_num,ExtraCol13_ew_bin,ExtraCol13_ew_bin_num,ExtraCol22_ew_bin,ExtraCol22_ew_bin_num,ExtraCol2A,ExtraCol2B,ExtraCol2C,ExtraCol2D,ExtraCol3high,ExtraCol3low,ExtraCol3medium,ExtraCol3unknown
4,0,113803,53.1,C123,S,43,D,high,NA,C,high,19,NA,NA,low,72,Z,medium,343,Y,medium,2,Y,medium,382,Y,medium,229,Z,low,ExtraCol19_1,1,ExtraCol16_4,4,ExtraCol13_1,1,ExtraCol22_4,4,0,0,0,1,1,0,0,0
12,0,113783,26.55,C103,S,97,C,high,NA,D,NA,24,A,high,low,79,X,high,471,NA,low,423,Z,low,125,Y,medium,390,Z,low,ExtraCol19_5,5,ExtraCol16_5,5,ExtraCol13_1,1,ExtraCol22_2,2,0,0,1,0,1,0,0,0
22,0,248698,13,D56,S,37,D,high,89,C,unknown,59,B,NA,medium,388,Z,NA,436,Y,medium,306,X,high,175,Y,low,67,Z,low,ExtraCol19_4,4,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_2,2,0,0,0,1,1,0,0,0
24,0,113788,35.5,A6,S,92,A,medium,98,B,medium,59,B,high,high,437,X,low,180,Y,high,123,X,low,60,X,medium,426,Z,low,ExtraCol19_2,2,ExtraCol16_2,2,ExtraCol13_5,5,ExtraCol22_1,1,1,0,0,0,0,0,1,0
56,0,19947,35.5,C52,S,4,C,high,82,NA,low,71,B,high,medium,353,Z,low,143,X,low,NA,X,low,42,Y,medium,268,NA,medium,NA,NA,ExtraCol16_2,2,ExtraCol13_4,4,ExtraCol22_1,1,0,0,1,0,1,0,0,0
97,0,PC 17754,34.6542,A5,C,23,D,unknown,95,A,unknown,NA,B,high,low,174,Z,NA,449,Z,high,439,X,low,436,Y,NA,279,Y,high,ExtraCol19_5,5,ExtraCol16_5,5,ExtraCol13_2,2,ExtraCol22_5,5,0,0,0,1,0,0,0,1
98,1,PC 17759,63.3583,D10 D12,C,68,C,unknown,NA,NA,NA,41,D,unknown,low,369,Z,medium,NA,X,low,351,Z,high,41,X,low,303,Y,low,ExtraCol19_4,4,NA,NA,ExtraCol13_4,4,ExtraCol22_1,1,0,0,1,0,0,0,0,1
103,1,35281,77.2875,D26,S,80,B,medium,96,NA,unknown,2,B,high,medium,393,X,high,43,X,NA,168,Y,medium,376,Y,low,265,Z,low,ExtraCol19_2,2,ExtraCol16_1,1,ExtraCol13_4,4,ExtraCol22_4,4,0,1,0,0,0,0,1,0
124,0,27267,13,E101,S,47,D,medium,40,A,unknown,21,NA,low,medium,428,X,low,NA,Y,medium,367,X,high,110,X,high,445,Y,high,ExtraCol19_4,4,NA,NA,ExtraCol13_5,5,ExtraCol22_2,2,0,0,0,1,0,0,1,0
140,0,PC 17593,79.2,B86,C,43,A,low,NA,NA,low,46,D,NA,high,107,Z,high,483,NA,high,312,X,low,178,X,medium,NA,Y,high,ExtraCol19_4,4,ExtraCol16_5,5,ExtraCol13_2,2,ExtraCol22_2,2,1,0,0,0,0,1,0,0
