id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22
1,,,27,,high,57,C,low,90,Z,high,303,X,high,475,Y,medium,286,Z,medium,193
2,,,,,low,62,D,,97,X,high,388,Z,high,412,,,451,Y,high,451
3,,medium,26,D,unknown,65,D,high,51,Z,low,262,X,high,49,X,low,337,Z,high,293
4,D,high,,C,high,19,,,59,Y,low,72,Z,medium,343,Y,medium,2,Y,medium,382
5,D,low,17,A,,57,C,low,19,X,medium,,Y,high,332,,low,244,Z,high,174
6,C,,18,C,medium,26,C,,41,X,low,,Z,high,442,Z,low,422,X,,465
7,B,,92,D,medium,27,,,62,X,high,58,X,low,482,X,high,436,Y,medium,357
8,,medium,55,A,low,94,D,low,42,,low,63,Y,high,372,X,medium,,Z,high,257
9,A,,4,B,,,A,,,,medium,173,X,low,,Z,high,238,X,,289
10,B,unknown,,D,,,C,,13,Y,low,227,Z,high,176,Z,high,53,Y,low,311
11,,high,,B,unknown,,B,,15,Y,high,,Y,low,449,X,high,106,Y,,80
12,C,high,,D,,24,A,high,33,X,low,79,X,high,471,,low,423,Z,low,125
13,B,low,54,C,high,78,,,,Z,medium,466,Z,high,495,X,high,170,Z,low,343
14,,,64,C,medium,,A,,81,Y,high,75,Z,high,477,Y,high,381,X,low,220
15,C,,,C,medium,71,,,86,Z,medium,100,Z,high,320,Y,medium,18,X,low,391
16,,unknown,81,C,,,,unknown,,X,low,483,Z,medium,478,Y,low,245,Z,medium,262
17,D,high,,,medium,,,,,Z,low,188,X,high,391,X,low,475,X,medium,32
18,C,unknown,96,D,unknown,72,A,,,Z,medium,286,Y,low,120,X,medium,,Y,medium,332
19,C,,,B,low,33,D,unknown,53,Y,low,217,Z,,15,Y,low,15,Z,medium,304
20,D,low,32,,low,96,A,medium,70,Z,medium,129,Y,low,490,Y,low,144,Z,low,182
21,,low,72,C,unknown,86,B,,72,Y,medium,253,Y,low,213,X,medium,31,Z,medium,395
22,D,high,89,C,unknown,59,B,,96,Z,medium,388,Z,,436,Y,medium,306,X,high,175
23,B,,,B,unknown,,C,,57,Z,high,5,Y,medium,144,Y,high,95,X,low,57
24,A,medium,98,B,medium,59,B,high,34,X,high,437,X,low,180,Y,high,123,X,low,60
25,,,19,C,medium,69,,,,Z,low,92,X,,412,Z,low,293,Z,medium,450
26,A,high,41,,low,,D,low,,Z,high,458,Z,high,262,Z,low,162,X,,188
27,A,medium,31,B,medium,14,D,low,80,X,high,481,X,medium,338,X,low,325,Y,medium,207
28,,low,42,D,high,56,A,high,,Z,low,466,Y,low,160,Z,low,465,,high,152
29,,high,,B,medium,80,D,,,Y,medium,325,Y,high,307,X,medium,465,Y,low,368
30,A,high,73,C,medium,31,A,unknown,31,Z,,452,,high,243,Y,high,364,Z,low,302
31,D,,,A,,45,,unknown,5,,medium,429,X,low,465,Z,high,484,Y,medium,449
32,,,25,,,,D,high,,,medium,319,X,low,246,Z,high,368,Y,low,447
33,B,medium,,D,high,70,A,,12,Y,high,445,Z,high,44,X,medium,33,Z,low,494
34,C,high,,,high,86,A,high,8,Y,medium,171,X,high,368,X,medium,477,Y,low,
35,B,,65,D,high,,,medium,70,Y,high,417,X,high,476,X,high,283,X,low,291
36,C,,69,,unknown,,,high,43,X,medium,462,Z,,,X,low,2,Y,high,173
37,D,medium,66,B,low,4,D,low,,Z,medium,,X,low,50,X,,310,Z,high,352
38,A,,60,D,medium,,C,unknown,,,low,61,Y,,499,,medium,122,Z,medium,374
39,A,,,B,high,94,C,unknown,,X,low,107,X,medium,173,X,medium,267,X,,125
40,D,unknown,,,,8,D,medium,61,Y,medium,,Z,high,416,Y,medium,328,,high,429
41,C,low,90,A,unknown,,,medium,53,X,low,266,X,high,315,Z,,13,Y,low,145
42,C,unknown,38,B,,83,,medium,58,Y,high,216,Y,low,,Y,low,219,Z,medium,491
43,B,medium,51,B,low,,D,,70,Y,low,413,Y,low,170,X,high,27,Y,high,425
44,,,18,,medium,17,,,38,X,low,141,Z,low,303,Y,high,,Y,medium,9
45,C,low,35,A,medium,2,A,medium,,Z,high,82,X,low,341,Y,high,105,Z,medium,199
46,C,low,,D,unknown,,A,high,,Z,low,307,Y,,77,Z,high,390,Y,,194
47,A,unknown,64,A,medium,59,B,,14,Z,low,69,,low,387,,medium,206,Z,medium,411
