"id","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","ExtraCol27_custom_bin","ExtraCol27_freq_bin","ExtraCol27_original_freq","ExtraCol29_freq_bin","ExtraCol29_original_freq","ExtraCol30_freq_bin","ExtraCol30_original_freq","ExtraCol32_freq_bin","ExtraCol32_original_freq","ExtraCol27_target_bin","ExtraCol27_target_stat","ExtraCol29_target_bin","ExtraCol29_target_stat","ExtraCol30_target_bin","ExtraCol30_target_stat","ExtraCol32_target_bin","ExtraCol32_target_stat"
1,"medium",321,"Z","low",330,"Y","low",379,"X","low",420,"NEARLINE","europe","OCCASIONAL_ACCESS","{""sku_id"":""9556-97BF-3B42"",""description"":""nearline storage finland"",""original_region"":""europe-north1""}","12-06-2024","11:31:00","13:44:00","12-06-2024 13:39","There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN","The e-commerce boom has exacerbated a global truck driver shortage, but could autonomous trucks help fix the problem?","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I welcome everyone to this confirmation hearing on the nomination of JudgeÑÑ","Good","medium",359,"Z",353,"low",277,"Y",351,"medium",NA,"Z",NA,"low",NA,"Y",NA
2,"medium",14,"Y","low",50,"Y","low",40,"Other","Other",98,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""FDBF-9FEC-415F"",""description"":""standard storage belgium dual-region"",""original_region"":""europe-west1""}","29-12-2024","08:55:00","12:54:00","29-12-2024 12:53","Bioservo's robotic 'Ironhand' could protect factory workers from injuries - CNN","Working in a factory can mean doing the same task over and over, which could lead to chronic injury.  A battery-powered glove from Swedish company Bioservo could help workers by taking some of the strain.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman?","Good","medium",359,"Y",282,"low",277,"Y",351,"medium",NA,"Y",NA,"low",NA,"Y",NA
3,"medium",319,"X","high",491,"Z","low",271,"Other","Other",336,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""ED38-3DBE-CF1A"",""description"":""autoclass standard storage dallas dual-region"",""original_region"":""us-south1""}","29-12-2024","12:38:00","15:59:00","29-12-2024 15:58","This swarm of robots gets smarter the more it works - CNN","In a Hong Kong warehouse, a swarm of autonomous robots works 24/7. They're not just working hard, they're working smart; as they operate, they get better at their job.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Brett KavanaughÑÑ","Good","medium",359,"X",256,"high",274,"Z",258,"medium",NA,"X",NA,"high",NA,"Z",NA
4,"low",245,"Y","medium",279,"X","Other",355,"Other","Other",338,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""BB55-3E5A-405C"",""description"":""standard storage london"",""original_region"":""europe-west2""}","19-05-2024","07:20:00","09:00:00","19-05-2024 08:50","Russia is no longer an option for investors. These emerging markets are - CNN","For many years, the world's most popular emerging markets have been the so-called BRICS: Brazil, Russia, India, China and South Africa.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman?","bad","low",270,"Y",282,"medium",340,"X",282,"low",NA,"Y",NA,"medium",NA,"X",NA
5,"high",227,"X","medium",331,"Y","low",301,"Other","Other",405,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""E868-06F7-C27A"",""description"":""autoclass nearline storage hong kong"",""original_region"":""asia-east2""}","15-12-2024","12:21:00","12:44:00","15-12-2024 12:36","Russian energy investment ban part of new EU sanctions wave  - CNN","The European Union formally approved on Tuesday a new barrage of sanctions against Russia for its invasion of Ukraine, which include bans on investments in the Russian energy sector, luxury goods exports and imports of steel products from Russia.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To serve as Associate Justice on the Supreme Court of the United States.","Good","high",262,"X",256,"medium",340,"Y",351,"high",NA,"X",NA,"medium",NA,"Y",NA
6,"low",303,"X","medium",35,"X","Other",122,"Other","low",404,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""BF52-88CF-5EC3"",""description"":""standard storage mumbai dual-region"",""original_region"":""asia-south1""}","29-10-2024","10:26:00","13:48:00","29-10-2024 13:40","Anti-war protester interrupts live Russian state news broadcast to denounce invasion of Ukraine - CNN","A woman holding a sign reading ""NO WAR"" interrupted a live news broadcast on Russian state television Monday to denounce Russia's invasion of Ukraine. ","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman, I would like to be recognized for a question before we proceed.","bad","low",270,"X",256,"medium",340,"X",282,"low",NA,"X",NA,"medium",NA,"X",NA
7,"high",447,"X","medium",259,"Y","low",80,"Other","Other",492,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FC23-F6BB-9FCE"",""description"":""autoclass coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}","22-08-2024","15:17:00","18:40:00","22-08-2024 18:31","Benjamin Hall: Fox News correspondent hospitalized after being injured in Ukraine - CNN","Fox News correspondent Benjamin Hall, who had been deployed in recent weeks to cover the war in Ukraine, has been hospitalized after being injured while reporting near Kyiv, the network said on Monday.","Senator","R","Senator Orrin Hatch (UT)","Senator HATCH. Regular order, Mr. Chairman.","Good","high",262,"X",256,"medium",340,"Y",351,"high",NA,"X",NA,"medium",NA,"Y",NA
8,"low",63,"Y","low",460,"Z","Other",145,"Other","low",43,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""F57C-6BD5-7FCB"",""description"":""autoclass standard storage tokyo"",""original_region"":""asia-northeast1""}","02-11-2024","09:46:00","13:15:00","02-11-2024 13:14","Russia could default on its debt within days - CNN","Russia has sent the clearest signal yet that it will soon default — the first time it will have failed to meet its foreign debt obligations since the Bolshevik revolution more than a century ago.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman, IÕd like to be recognized to ask a question before we proceed. The Committee received just last night, less than 15 hours ago, 42,000ÑÑ","bad","low",270,"Y",282,"low",277,"Z",258,"low",NA,"Y",NA,"low",NA,"Z",NA
9,"medium",67,"X","medium",118,"Z","low",176,"Other","Other",182,"NEARLINE","asia","OCCASIONAL_ACCESS","{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}","07-10-2024","18:26:00","19:25:00","07-10-2024 19:17","Oil briefly tumbles below $100 a barrel. That's good news for gas prices - CNN","US oil prices briefly tumbled below $100 a barrel on Monday, unwinding a significant chunk of the recent spike caused by Russia's invasion of Ukraine.","Senator","R","Senator John Cornyn (TX)","Senator CORNYN. Mr. Chairman, regular order.","Good","medium",359,"X",256,"medium",340,"Z",258,"medium",NA,"X",NA,"medium",NA,"Z",NA
10,"high",348,"Z","medium",270,"X","Other",460,"Other","low",181,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""D20B-32C5-0704"",""description"":""autoclass archive storage seoul"",""original_region"":""asia-northeast3""}","23-12-2024","10:27:00","11:19:00","23-12-2024 11:15","Russia may have found a buyer for its cheap oil: India - CNN","India may take up a Russian offer to buy crude oil and other commodities at a discount, two Indian officials said, in a sign that Delhi wants to keep its key trading partner on board despite Western attempts to isolate Moscow through sanctions.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. Pages of documents that we have not had an opportunity to review, or read, or analyze.","Good","high",262,"Z",353,"medium",340,"X",282,"high",NA,"Z",NA,"medium",NA,"X",NA
