id,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time,last_activity_ts,Headline_cnn,Description_cnn,Title_sc,Speaker (Party)(or nominated by)_sc,Speaker and title_sc,Statements_sc
1,medium,193,Z,low,78,Y,medium,321,Z,low,330,Y,low,379,X,low,420,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""9556-97BF-3B42"",""description"":""nearline storage finland"",""original_region"":""europe-north1""}",12-06-2024,11:31:00,13:44:00,12-06-2024 13:39,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
2,high,451,Z,low,110,Y,medium,14,Y,low,50,Y,low,40,Y,medium,98,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FDBF-9FEC-415F"",""description"":""standard storage belgium dual-region"",""original_region"":""europe-west1""}",29-12-2024,08:55:00,12:54:00,29-12-2024 12:53,Bob Baffert Suspended,Beating Forecasts Covid,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
3,high,293,Y,high,43,X,medium,319,X,high,491,Z,low,271,Y,medium,336,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""ED38-3DBE-CF1A"",""description"":""autoclass standard storage dallas dual-region"",""original_region"":""us-south1""}",29-12-2024,12:38:00,15:59:00,29-12-2024 15:58,Scammers Cnn Epik,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
4,medium,382,Y,medium,229,Z,low,245,Y,medium,279,X,medium,355,Y,medium,338,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""BB55-3E5A-405C"",""description"":""standard storage london"",""original_region"":""europe-west2""}",19-05-2024,07:20:00,09:00:00,19-05-2024 08:50,Companies Pulling Russia,Beating Forecasts Covid,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
5,high,174,X,medium,322,Y,high,227,X,medium,331,Y,low,301,Y,high,405,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""E868-06F7-C27A"",""description"":""autoclass nearline storage hong kong"",""original_region"":""asia-east2""}",15-12-2024,12:21:00,12:44:00,15-12-2024 12:36,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
6,low,465,Z,low,337,X,low,303,X,medium,35,X,high,122,Y,low,404,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""BF52-88CF-5EC3"",""description"":""standard storage mumbai dual-region"",""original_region"":""asia-south1""}",29-10-2024,10:26:00,13:48:00,29-10-2024 13:40,Companies Pulling Russia,Help Russia,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
7,medium,357,Y,medium,454,Z,high,447,X,medium,259,Y,low,80,Z,high,492,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FC23-F6BB-9FCE"",""description"":""autoclass coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}",22-08-2024,15:17:00,18:40:00,22-08-2024 18:31,Bob Baffert Suspended,Actor Bob Odenkirk,Senator,R,Senator Orrin Hatch (UT),Kozinski Phone Senator
8,high,257,X,medium,146,X,low,63,Y,low,460,Z,medium,145,Z,low,43,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""F57C-6BD5-7FCB"",""description"":""autoclass standard storage tokyo"",""original_region"":""asia-northeast1""}",02-11-2024,09:46:00,13:15:00,02-11-2024 13:14,Companies Pulling Russia,Help Russia,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
9,low,289,Z,medium,327,Y,medium,67,X,medium,118,Z,low,176,Z,medium,182,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-10-2024,18:26:00,19:25:00,07-10-2024 19:17,Amid Inflation,Beating Forecasts Covid,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
10,low,311,Z,low,442,Y,high,348,Z,medium,270,X,high,460,Y,low,181,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""D20B-32C5-0704"",""description"":""autoclass archive storage seoul"",""original_region"":""asia-northeast3""}",23-12-2024,10:27:00,11:19:00,23-12-2024 11:15,Companies Pulling Russia,Help Russia,Senator,D,Senator Kamala Harris (CA),Analyze Senator
