id,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time,last_activity_ts,Headline_cnn,Description_cnn,Title_sc,Speaker (Party)(or nominated by)_sc,Speaker and title_sc,Statements_sc
1,286.0,Z,medium,193.0,Z,low,78.0,Y,medium,321.0,Z,low,330.0,Y,,379.0,X,low,420.0,NEARLINE,europe,OCCASIONAL_ACCESS,Europe West12 Sku_Id,12-06-2024,11:31:00,13:44:00,12-06-2024 13:39,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
2,451.0,Y,high,451.0,Z,low,110.0,Y,medium,14.0,Y,low,50.0,Y,low,40.0,Y,medium,98.0,STANDARD,europe,FREQUENT_ACCESS,Europe West12 Sku_Id,29-12-2024,08:55:00,12:54:00,29-12-2024 12:53,Bob Baffert Suspended,Beating Forecasts Covid,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
3,337.0,Z,high,293.0,Y,high,43.0,X,medium,319.0,X,high,491.0,Z,low,271.0,Y,medium,336.0,STANDARD,north_america,FREQUENT_ACCESS,Original_Region West2 Sku_Id,29-12-2024,12:38:00,15:59:00,29-12-2024 15:58,Scammers Cnn Epik,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
4,2.0,Y,medium,382.0,Y,medium,229.0,Z,low,245.0,Y,medium,,X,medium,355.0,Y,medium,338.0,STANDARD,europe,FREQUENT_ACCESS,Europe West12 Sku_Id,19-05-2024,07:20:00,09:00:00,19-05-2024 08:50,Companies Pulling Russia,Beating Forecasts Covid,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
5,244.0,Z,high,174.0,X,medium,322.0,Y,high,227.0,X,medium,331.0,Y,low,301.0,Y,high,405.0,STANDARD,asia,FREQUENT_ACCESS,Original_Region West2 Sku_Id,15-12-2024,12:21:00,12:44:00,15-12-2024 12:36,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
6,422.0,X,,465.0,Z,low,337.0,X,low,303.0,X,,35.0,X,high,122.0,Y,low,404.0,STANDARD,asia,FREQUENT_ACCESS,Europe West12 Sku_Id,29-10-2024,10:26:00,13:48:00,29-10-2024 13:40,Companies Pulling Russia,Help Russia,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
7,436.0,Y,medium,357.0,Y,medium,454.0,Z,high,447.0,X,medium,259.0,,,80.0,Z,high,492.0,STANDARD,north_america,FREQUENT_ACCESS,Original_Region West2 Sku_Id,22-08-2024,15:17:00,18:40:00,22-08-2024 18:31,Bob Baffert Suspended,Actor Bob Odenkirk,Senator,R,Senator Orrin Hatch (UT),Kozinski Phone Senator
8,,Z,high,257.0,X,medium,146.0,X,low,63.0,Y,low,460.0,Z,medium,145.0,Z,low,43.0,STANDARD,asia,FREQUENT_ACCESS,Original_Region West2 Sku_Id,02-11-2024,09:46:00,13:15:00,02-11-2024 13:14,Companies Pulling Russia,Help Russia,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
9,238.0,X,,289.0,Z,medium,327.0,Y,medium,67.0,X,medium,118.0,Z,low,176.0,Z,medium,182.0,NEARLINE,asia,OCCASIONAL_ACCESS,Europe West12 Sku_Id,07-10-2024,18:26:00,19:25:00,07-10-2024 19:17,Amid Inflation,Beating Forecasts Covid,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
10,53.0,Y,low,311.0,Z,low,442.0,Y,high,348.0,Z,medium,270.0,X,high,460.0,Y,low,181.0,STANDARD,asia,FREQUENT_ACCESS,Original_Region West2 Sku_Id,23-12-2024,10:27:00,11:19:00,23-12-2024 11:15,Companies Pulling Russia,Help Russia,Senator,D,Senator Kamala Harris (CA),Analyze Senator
11,106.0,Y,,80.0,X,high,14.0,X,medium,25.0,Z,low,282.0,Y,high,310.0,X,medium,188.0,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,21-05-2024,16:12:00,17:38:00,21-05-2024 17:33,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
12,423.0,Z,low,125.0,Y,medium,390.0,Z,low,214.0,Z,medium,348.0,X,high,417.0,X,high,,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,29-01-2024,18:35:00,20:58:00,29-01-2024 20:50,Amid Inflation,Help Russia,Senator,D,Senator Kamala Harris (CA),Analyze Senator
13,170.0,Z,low,343.0,Z,low,44.0,X,medium,247.0,Z,high,459.0,Y,high,13.0,Y,medium,116.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,15-06-2024,19:08:00,19:55:00,15-06-2024 19:54,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
14,381.0,X,low,220.0,Z,low,275.0,Z,medium,195.0,Z,medium,65.0,X,high,391.0,Y,medium,482.0,STANDARD,north_america,FREQUENT_ACCESS,Original_Region West2 Sku_Id,26-04-2024,18:15:00,18:47:00,26-04-2024 18:46,Assassination Question,International Women,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
15,18.0,X,low,391.0,X,low,415.0,Z,high,266.0,Z,medium,31.0,Z,high,94.0,Y,low,449.0,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,27-06-2024,12:06:00,14:55:00,27-06-2024 14:48,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Proud Judge Kavanaugh
16,245.0,Z,medium,262.0,X,low,229.0,X,medium,56.0,Z,high,44.0,Y,,282.0,X,high,341.0,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,02-12-2024,20:26:00,23:15:00,02-12-2024 23:05,Companies Pulling Russia,Help Russia,Senator,D,Senator Kamala Harris (CA),Analyze Senator
17,475.0,X,medium,32.0,Z,high,279.0,Y,high,133.0,X,medium,133.0,X,medium,193.0,Z,low,277.0,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,19-12-2024,09:59:00,11:39:00,19-12-2024 11:35,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
18,,Y,medium,332.0,Z,high,309.0,X,medium,2.0,Y,,176.0,Z,high,431.0,X,low,237.0,STANDARD,europe,FREQUENT_ACCESS,Europe West12 Sku_Id,04-09-2024,12:21:00,14:14:00,04-09-2024 14:06,Amid Inflation,Niger State Television,Senator,D,Senator Kamala Harris (CA),Analyze Senator
19,15.0,Z,medium,304.0,Z,high,288.0,Y,low,480.0,X,low,439.0,,low,337.0,Y,high,341.0,NEARLINE,north_america,OCCASIONAL_ACCESS,Europe West12 Sku_Id,20-08-2024,21:43:00,22:33:00,20-08-2024 22:24,Amid Inflation,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
20,144.0,Z,low,182.0,Y,low,365.0,Y,medium,415.0,Z,high,260.0,Y,high,230.0,Y,high,431.0,STANDARD,oceania,FREQUENT_ACCESS,Original_Region West2 Sku_Id,14-04-2024,14:20:00,15:00:00,14-04-2024 14:55,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
21,31.0,Z,medium,395.0,Z,medium,429.0,Y,,126.0,X,high,372.0,Y,medium,254.0,Y,low,213.0,STANDARD,north_america,FREQUENT_ACCESS,Europe West12 Sku_Id,06-01-2024,14:43:00,16:53:00,06-01-2024 16:46,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
22,306.0,X,high,175.0,Y,low,67.0,Z,low,18.0,Y,high,287.0,X,low,353.0,X,medium,,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,22-05-2024,06:00:00,06:31:00,22-05-2024 06:23,New Covid Lockdowns,Beating Forecasts Covid,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
23,95.0,X,low,57.0,Z,low,,Y,medium,135.0,Y,high,476.0,Y,,359.0,Y,low,456.0,STANDARD,north_america,FREQUENT_ACCESS,Original_Region West2 Sku_Id,15-06-2024,21:11:00,23:39:00,15-06-2024 23:29,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Proud Judge Kavanaugh
24,123.0,X,low,60.0,X,medium,426.0,Z,low,478.0,,medium,164.0,Z,low,286.0,X,high,455.0,NEARLINE,north_america,OCCASIONAL_ACCESS,Europe West12 Sku_Id,25-03-2024,19:38:00,21:50:00,25-03-2024 21:42,Amid Inflation,2020 Presidential Election,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
25,293.0,Z,medium,450.0,X,medium,190.0,,,405.0,X,medium,334.0,Z,high,363.0,Z,medium,114.0,STANDARD,asia,FREQUENT_ACCESS,Original_Region West2 Sku_Id,17-10-2024,17:26:00,20:32:00,17-10-2024 20:24,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
26,162.0,X,,188.0,X,high,244.0,Y,medium,,Z,,136.0,Z,high,394.0,Z,low,119.0,STANDARD,asia,FREQUENT_ACCESS,Original_Region West2 Sku_Id,02-03-2024,07:31:00,11:18:00,02-03-2024 11:12,Amid Inflation,Point Tally Nba,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
27,325.0,Y,medium,207.0,X,low,371.0,X,,461.0,Y,medium,116.0,X,low,15.0,Z,low,102.0,STANDARD,oceania,FREQUENT_ACCESS,Europe West12 Sku_Id,24-06-2024,11:49:00,13:46:00,24-06-2024 13:38,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
28,465.0,,high,152.0,X,high,467.0,X,high,88.0,Z,high,490.0,Z,high,183.0,Z,low,13.0,STANDARD,north_america,FREQUENT_ACCESS,Europe West12 Sku_Id,26-02-2024,18:32:00,19:44:00,26-02-2024 19:35,Scammers Cnn Epik,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
