"id","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc"
1,193,"Z","low",78,"Y","medium",321,"Z","low",330,"Y","low",379,"X","low",420,"NEARLINE","europe","OCCASIONAL_ACCESS","Europe West12 Sku_Id","12-06-2024","11:31:00","13:44:00","12-06-2024 13:39","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
2,451,"Z","low",110,"Y","medium",14,"Y","low",50,"Y","low",40,"Y","medium",98,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","29-12-2024","08:55:00","12:54:00","29-12-2024 12:53","Bob Baffert Suspended","Beating Forecasts Covid","Senator","D","Senator Kamala Harris (CA)","Chairman Ask Question"
3,293,"Y","high",43,"X","medium",319,"X","high",491,"Z","low",271,"Y","medium",336,"STANDARD","north_america","FREQUENT_ACCESS","Original_Region West2 Sku_Id","29-12-2024","12:38:00","15:59:00","29-12-2024 15:58","Scammers Cnn Epik","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
4,382,"Y","medium",229,"Z","low",245,"Y","medium",245,"X","medium",355,"Y","medium",338,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","19-05-2024","07:20:00","09:00:00","19-05-2024 08:50","Companies Pulling Russia","Beating Forecasts Covid","Senator","D","Senator Kamala Harris (CA)","Chairman Ask Question"
5,174,"X","medium",322,"Y","high",227,"X","medium",331,"Y","low",301,"Y","high",405,"STANDARD","asia","FREQUENT_ACCESS","Original_Region West2 Sku_Id","15-12-2024","12:21:00","12:44:00","15-12-2024 12:36","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
6,465,"Z","low",337,"X","low",303,"X","medium",35,"X","high",122,"Y","low",404,"STANDARD","asia","FREQUENT_ACCESS","Europe West12 Sku_Id","29-10-2024","10:26:00","13:48:00","29-10-2024 13:40","Companies Pulling Russia","Help Russia","Senator","D","Senator Kamala Harris (CA)","Chairman Ask Question"
7,357,"Y","medium",454,"Z","high",447,"X","medium",259,"Y","low",80,"Z","high",492,"STANDARD","north_america","FREQUENT_ACCESS","Original_Region West2 Sku_Id","22-08-2024","15:17:00","18:40:00","22-08-2024 18:31","Bob Baffert Suspended","Actor Bob Odenkirk","Senator","R","Senator Orrin Hatch (UT)","Kozinski Phone Senator"
8,257,"X","medium",146,"X","low",63,"Y","low",460,"Z","medium",145,"Z","low",43,"STANDARD","asia","FREQUENT_ACCESS","Original_Region West2 Sku_Id","02-11-2024","09:46:00","13:15:00","02-11-2024 13:14","Companies Pulling Russia","Help Russia","Senator","D","Senator Kamala Harris (CA)","Chairman Ask Question"
9,289,"Z","medium",327,"Y","medium",67,"X","medium",118,"Z","low",176,"Z","medium",182,"NEARLINE","asia","OCCASIONAL_ACCESS","Europe West12 Sku_Id","07-10-2024","18:26:00","19:25:00","07-10-2024 19:17","Amid Inflation","Beating Forecasts Covid","Senator","R","Senator John Cornyn (TX)","Chairman Ask Question"
10,311,"Z","low",442,"Y","high",348,"Z","medium",270,"X","high",460,"Y","low",181,"STANDARD","asia","FREQUENT_ACCESS","Original_Region West2 Sku_Id","23-12-2024","10:27:00","11:19:00","23-12-2024 11:15","Companies Pulling Russia","Help Russia","Senator","D","Senator Kamala Harris (CA)","Analyze Senator"
11,80,"X","high",14,"X","medium",25,"Z","low",282,"Y","high",310,"X","medium",188,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","21-05-2024","16:12:00","17:38:00","21-05-2024 17:33","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
12,125,"Y","medium",390,"Z","low",214,"Z","medium",348,"X","high",417,"X","high",251,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","29-01-2024","18:35:00","20:58:00","29-01-2024 20:50","Amid Inflation","Help Russia","Senator","D","Senator Kamala Harris (CA)","Analyze Senator"
13,343,"Z","low",44,"X","medium",247,"Z","high",459,"Y","high",13,"Y","medium",116,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","15-06-2024","19:08:00","19:55:00","15-06-2024 19:54","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
