"id","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","DR1","DR2","DR3","DR4","DR5","DR6","DR7","DR8"
1,"Y","medium",286,"Z","medium",193,"Z","low",78,"Y","medium",321,"Z","low",330,"Y","",379,"X","low",420,"NEARLINE","europe","OCCASIONAL_ACCESS","{""sku_id"":""9556-97BF-3B42"",""description"":""nearline storage finland"",""original_region"":""europe-north1""}","12-06-2024","11:31:00","13:44:00","12-06-2024 13:39","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I welcome everyone to this confirmation hearing on the nomination of JudgeÑÑ",1.9205080796494,0.524655497822421,0.00675712053784052,0.0234052150266505,0.798712708040632,-1.24602135415106,-0.166535448207947,-1.0769696475528
2,"Y","low",451,"Y","high",451,"Z","low",110,"Y","medium",14,"Y","low",50,"Y","low",40,"Y","medium",98,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""FDBF-9FEC-415F"",""description"":""standard storage belgium dual-region"",""original_region"":""europe-west1""}","29-12-2024","08:55:00","12:54:00","29-12-2024 12:53","Bob Baffert Suspended","Beating Forecasts Covid","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman?",1.0020931268344,-1.44754041047156,0.519377601583016,1.19600656738796,0.849854701260718,2.01825384730382,0.425282468487888,1.23761014036876
3,"X","low",337,"Z","high",293,"Y","high",43,"X","medium",319,"X","high",491,"Z","low",271,"Y","medium",336,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""ED38-3DBE-CF1A"",""description"":""autoclass standard storage dallas dual-region"",""original_region"":""us-south1""}","29-12-2024","12:38:00","15:59:00","29-12-2024 15:58","Scammers Cnn Epik","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Brett KavanaughÑÑ",1.13672002152869,-0.517572451182893,0.0488098182976964,-0.476594941858845,-0.437754711947538,0.984216463080838,1.95143787487335,-0.0684925717178977
4,"Y","medium",2,"Y","medium",382,"Y","medium",229,"Z","low",245,"Y","medium",,"X","medium",355,"Y","medium",338,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""BB55-3E5A-405C"",""description"":""standard storage london"",""original_region"":""europe-west2""}","19-05-2024","07:20:00","09:00:00","19-05-2024 08:50","Companies Pulling Russia","Beating Forecasts Covid","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman?",1.50711642446499,0.916221319428161,-0.243154562922463,1.40530106250834,-0.821205316369007,-0.933417787424101,-1.45118886352337,0.965401582171889
5,"Y","low",244,"Z","high",174,"X","medium",322,"Y","high",227,"X","medium",331,"Y","low",301,"Y","high",405,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""E868-06F7-C27A"",""description"":""autoclass nearline storage hong kong"",""original_region"":""asia-east2""}","15-12-2024","12:21:00","12:44:00","15-12-2024 12:36","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To serve as Associate Justice on the Supreme Court of the United States.",1.0945000621152,-2.08764863436809,0.422206229884637,-0.116656744174358,-0.272886539488906,-0.196820542615815,1.02659180416621,-0.3343506847162
6,"Z","low",422,"X","low",465,"Z","low",337,"X","low",303,"X","",35,"X","high",122,"Y","low",404,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""BF52-88CF-5EC3"",""description"":""standard storage mumbai dual-region"",""original_region"":""asia-south1""}","29-10-2024","10:26:00","13:48:00","29-10-2024 13:40","Companies Pulling Russia","Help Russia","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman, I would like to be recognized for a question before we proceed.",-1.36900021111917,-0.0362823333905442,0.563029848578089,-1.52430976238686,0.899448337903138,1.7066233557896,0.2047230591161,0.447256927747199
7,"X","high",436,"Y","medium",357,"Y","medium",454,"Z","high",447,"X","medium",259,"","",80,"Z","high",492,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FC23-F6BB-9FCE"",""description"":""autoclass coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}","22-08-2024","15:17:00","18:40:00","22-08-2024 18:31","Bob Baffert Suspended","Actor Bob Odenkirk","Senator","R","Senator Orrin Hatch (UT)","Senator HATCH. Regular order, Mr. Chairman.",0.0575103430597406,2.18389408761554,-0.363479892142272,1.12683779453946,0.824415628352003,1.2563700959287,0.356025667778986,0.692133839889091
8,"X","medium",96,"Z","high",257,"X","medium",146,"X","low",63,"Y","low",460,"Z","medium",145,"Z","low",43,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""F57C-6BD5-7FCB"",""description"":""autoclass standard storage tokyo"",""original_region"":""asia-northeast1""}","02-11-2024","09:46:00","13:15:00","02-11-2024 13:14","Companies Pulling Russia","Help Russia","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman, IÕd like to be recognized to ask a question before we proceed. The Committee received just last night, less than 15 hours ago, 42,000ÑÑ",1.83013597214056,0.246252403646119,-0.0468229370143332,0.0150641960422595,-1.02849940125959,-0.937379044592095,0.423594597539811,-0.216557564506336
9,"Z","high",238,"X","low",289,"Z","medium",327,"Y","medium",67,"X","medium",118,"Z","low",176,"Z","medium",182,"NEARLINE","asia","OCCASIONAL_ACCESS","{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}","07-10-2024","18:26:00","19:25:00","07-10-2024 19:17","Amid Inflation","Beating Forecasts Covid","Senator","R","Senator John Cornyn (TX)","Senator CORNYN. Mr. Chairman, regular order.",-2.30947791894362,0.408134302271468,0.753129014569593,-0.872850723972068,0.508853929489827,-0.183070724732477,-0.789849575554686,0.189733060944852
10,"Z","high",53,"Y","low",311,"Z","low",442,"Y","high",348,"Z","medium",270,"X","high",460,"Y","low",181,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""D20B-32C5-0704"",""description"":""autoclass archive storage seoul"",""original_region"":""asia-northeast3""}","23-12-2024","10:27:00","11:19:00","23-12-2024 11:15","Companies Pulling Russia","Help Russia","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. Pages of documents that we have not had an opportunity to review, or read, or analyze.",-1.700824662268,0.473837801394483,0.662905528022313,0.644334304989982,-1.33864715141723,0.500227356057678,-1.90988119452595,0.0518332116292449
