"id","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","DR1","DR2","DR3","DR4","DR5","DR6","DR7","DR8"
1,"b","medium",286,"Z","medium",193,"Z","low",78,"Y","medium",321,"Z","low",330,"Y","",379,"X","low",420,"NEARLINE","europe","OCCASIONAL_ACCESS","{""sku_id"":""9556-97BF-3B42"",""description"":""nearline storage finland"",""original_region"":""europe-north1""}","12-06-2024","11:31:00","13:44:00","12-06-2024 13:39","There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN","The e-commerce boom has exacerbated a global truck driver shortage, but could autonomous trucks help fix the problem?","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I welcome everyone to this confirmation hearing on the nomination of JudgeÑÑ",1.97096416382309,-1.47129974764146,0.119227485520623,-0.347576065703298,-0.0829572939460282,-0.024460713196343,0.792133483281392,-1.34163137945513
2,"b","low",451,"Y","high",451,"Z","low",110,"Y","medium",14,"Y","low",50,"Y","low",40,"Y","medium",98,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""FDBF-9FEC-415F"",""description"":""standard storage belgium dual-region"",""original_region"":""europe-west1""}","29-12-2024","08:55:00","12:54:00","29-12-2024 12:53","Bioservo's robotic 'Ironhand' could protect factory workers from injuries - CNN","Working in a factory can mean doing the same task over and over, which could lead to chronic injury.  A battery-powered glove from Swedish company Bioservo could help workers by taking some of the strain.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman?",1.18824021675789,-0.478509812597965,-0.761537148226716,0.560319645911307,2.55333548831846,0.31112202366341,1.59494631802593,1.16572700259316
3,"a","low",337,"Z","high",293,"Y","high",43,"X","medium",319,"X","high",491,"Z","low",271,"Y","medium",336,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""ED38-3DBE-CF1A"",""description"":""autoclass standard storage dallas dual-region"",""original_region"":""us-south1""}","29-12-2024","12:38:00","15:59:00","29-12-2024 15:58","This swarm of robots gets smarter the more it works - CNN","In a Hong Kong warehouse, a swarm of autonomous robots works 24/7. They're not just working hard, they're working smart; as they operate, they get better at their job.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Brett KavanaughÑÑ",0.674588569330853,0.315929673046788,-0.247899822093479,1.89239698604952,-0.0558060235024752,0.703387173433564,-1.5763882146059,1.22048351756822
4,"b","medium",2,"Y","medium",382,"Y","medium",229,"Z","low",245,"Y","medium",NA,"X","medium",355,"Y","medium",338,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""BB55-3E5A-405C"",""description"":""standard storage london"",""original_region"":""europe-west2""}","19-05-2024","07:20:00","09:00:00","19-05-2024 08:50","Russia is no longer an option for investors. These emerging markets are - CNN","For many years, the world's most popular emerging markets have been the so-called BRICS: Brazil, Russia, India, China and South Africa.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman?",0.510276407537196,-1.22877715416921,-0.49139158799064,-1.14104132891395,0.140786604752018,-1.08268152206082,-0.882381388874628,-2.25652933239266
5,"b","low",244,"Z","high",174,"X","medium",322,"Y","high",227,"X","medium",331,"Y","low",301,"Y","high",405,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""E868-06F7-C27A"",""description"":""autoclass nearline storage hong kong"",""original_region"":""asia-east2""}","15-12-2024","12:21:00","12:44:00","15-12-2024 12:36","Russian energy investment ban part of new EU sanctions wave  - CNN","The European Union formally approved on Tuesday a new barrage of sanctions against Russia for its invasion of Ukraine, which include bans on investments in the Russian energy sector, luxury goods exports and imports of steel products from Russia.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To serve as Associate Justice on the Supreme Court of the United States.",0.57728551024656,0.787892805003446,-2.84233549976222,-0.063267047105251,-0.477940764293744,-0.374077059865725,-0.326143899435685,0.651684146926049
6,"b","low",422,"X","low",465,"Z","low",337,"X","low",303,"X","",35,"X","high",122,"Y","low",404,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""BF52-88CF-5EC3"",""description"":""standard storage mumbai dual-region"",""original_region"":""asia-south1""}","29-10-2024","10:26:00","13:48:00","29-10-2024 13:40","Anti-war protester interrupts live Russian state news broadcast to denounce invasion of Ukraine - CNN","A woman holding a sign reading ""NO WAR"" interrupted a live news broadcast on Russian state television Monday to denounce Russia's invasion of Ukraine. ","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman, I would like to be recognized for a question before we proceed.",-0.794963517079604,-0.498211436002294,0.832374235613317,-0.483627808808738,0.652187388139612,2.1699949627244,1.96949979262786,1.47222504859053
7,"a","high",436,"Y","medium",357,"Y","medium",454,"Z","high",447,"X","medium",259,"","",80,"Z","high",492,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FC23-F6BB-9FCE"",""description"":""autoclass coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}","22-08-2024","15:17:00","18:40:00","22-08-2024 18:31","Benjamin Hall: Fox News correspondent hospitalized after being injured in Ukraine - CNN","Fox News correspondent Benjamin Hall, who had been deployed in recent weeks to cover the war in Ukraine, has been hospitalized after being injured while reporting near Kyiv, the network said on Monday.","Senator","R","Senator Orrin Hatch (UT)","Senator HATCH. Regular order, Mr. Chairman.",-0.191331382252759,-0.44499461710672,1.73389474857046,0.0267886178396059,0.160165954219001,-0.539729190109709,-0.613059105863875,0.0155954229778719
8,"a","medium",96,"Z","high",257,"X","medium",146,"X","low",63,"Y","low",460,"Z","medium",145,"Z","low",43,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""F57C-6BD5-7FCB"",""description"":""autoclass standard storage tokyo"",""original_region"":""asia-northeast1""}","02-11-2024","09:46:00","13:15:00","02-11-2024 13:14","Russia could default on its debt within days - CNN","Russia has sent the clearest signal yet that it will soon default — the first time it will have failed to meet its foreign debt obligations since the Bolshevik revolution more than a century ago.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. Mr. Chairman, IÕd like to be recognized to ask a question before we proceed. The Committee received just last night, less than 15 hours ago, 42,000ÑÑ",1.62891819204091,-0.057818257842675,-1.0820953541843,-0.954830045725402,-0.990811837675214,-0.819973932056383,-0.966872472621317,0.144697164858193
9,"b","high",238,"X","low",289,"Z","medium",327,"Y","medium",67,"X","medium",118,"Z","low",176,"Z","medium",182,"NEARLINE","asia","OCCASIONAL_ACCESS","{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}","07-10-2024","18:26:00","19:25:00","07-10-2024 19:17","Oil briefly tumbles below $100 a barrel. That's good news for gas prices - CNN","US oil prices briefly tumbled below $100 a barrel on Monday, unwinding a significant chunk of the recent spike caused by Russia's invasion of Ukraine.","Senator","R","Senator John Cornyn (TX)","Senator CORNYN. Mr. Chairman, regular order.",-1.81318249921658,-0.125215977875691,0.516098694322714,-1.34080387834065,-1.36058292034574,0.309110583137869,2.06267970423005,0.428987746621081
10,"b","high",53,"Y","low",311,"Z","low",442,"Y","high",348,"Z","medium",270,"X","high",460,"Y","low",181,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""D20B-32C5-0704"",""description"":""autoclass archive storage seoul"",""original_region"":""asia-northeast3""}","23-12-2024","10:27:00","11:19:00","23-12-2024 11:15","Russia may have found a buyer for its cheap oil: India - CNN","India may take up a Russian offer to buy crude oil and other commodities at a discount, two Indian officials said, in a sign that Delhi wants to keep its key trading partner on board despite Western attempts to isolate Moscow through sanctions.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. Pages of documents that we have not had an opportunity to review, or read, or analyze.",-1.04518045083111,-0.302626670994905,0.904492470608534,-2.01417733516515,1.69902184523753,0.245106939521052,1.06385870654247,-0.253424660772612
